Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2020,704990,85768.91502,842251594.5,17499729730,168235669.8,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2021,711405,85768.91502,833157546.5,17130523209,166927656.1,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2022,717575,85768.91502,869095492.1,17616373993,171322881.1,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2023,723768,85768.91502,788207966.9,15935663349,157843785.5,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2024,729975,85768.91502,872408586.2,17628123400,175272244.4,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2025,736174,85768.91502,870736523.1,17936456495,175017042.5,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2026,742344,85768.91502,927828961.5,19442022742,186341361.9,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2027,748484,85768.91502,1004195625,20713476652,202606606.8,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2028,754583,85768.91502,905005674.8,17906002579,179830373,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2029,760636,85768.91502,942306173,19596708609,190155123.4,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2030,766643,85768.91502,746472830.5,15486935008,150129849.2,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2031,772596,85768.91502,809697836.7,16572414756,163549210.9,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2032,778493,85768.91502,911561438.1,19155452072,183543188.3,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2033,784328,85768.91502,757365164.5,15391163563,152052711.8,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2034,790085,85768.91502,828675718.5,16691810695,166894163.6,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2035,795762,85768.91502,761302794.6,15461558568,153744558.8,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2036,801351,85768.91502,893324410.3,18260348835,180848009.2,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2037,806861,85768.91502,816533605.3,16707667042,163076036.7,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2038,812298,85768.91502,920387622,18963798228,185620385,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2039,817679,85768.91502,665647375.1,14009061897,131777609.1,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2040,823018,85768.91502,708928801.1,13956187850,142216515.2,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2041,828332,85768.91502,665412684.8,13187286117,132802471.7,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2042,833640,85768.91502,687067331.3,14040650249,137424439.1,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2043,838955,85768.91502,744248589.8,14949475959,149860380.8,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
2044,844291,85768.91502,863193304.6,17933711606,174654436.5,9094.079084,32336.81092,246.923419,5771.693592,960.238777,626.7682643,1324.491467,1179.946671,10656.82414,19905.6988,3665.439892,100000,38108.50451,47660.41051
