Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2020,704990.0,73577.84174288149,477710530.86757255,9802227500.522041,103743117.66253087,6073.379401237108,56062.14752580423,164.9576327364818,10006.884275812676,134.135879621224,151.85209221096,291.815875961856,42.777208986712,649.8918505102374,0.0,0.0,531660.4586832697,66069.0318016169,7508.809941264581
2021,711405.0,73577.84174288149,475508452.7865479,9726623686.532904,103329011.28810123,6073.379401237108,56062.14752580423,164.9576327364818,10006.884275812674,134.135879621224,151.85209221096,291.815875961856,42.777208986712,649.8918505102374,0.0,0.0,531660.4586832697,66069.0318016169,7508.809941264581
2022,717575.0,73577.84336162549,483152961.38472265,9840424291.498106,104656338.571229,6073.379401237107,56062.14752580424,164.9576327364818,10006.884275812676,134.135879621224,151.85209221096,291.815875961856,42.777208986712,649.8934692542374,0.0,0.0,531660.4570645258,66069.03180161692,7508.811560008579
2023,723768.0,73577.8640603749,450455956.2802289,9164613318.39151,97873345.8113568,6073.391672957204,56062.14752580423,164.95796604579164,10006.884275812676,134.135879621224,151.85371095495998,291.815875961856,42.780446474712,649.8967067422374,0.0,0.0,531660.4428407523,66069.0318016169,7508.832258757986
2024,729975.0,73577.91666955489,501488801.77109414,10216826585.625914,109099997.92353605,6073.401128598743,56062.14752580423,164.95822286825262,10006.884275812676,134.139926481224,151.85452032696,291.823969681856,42.78692145071199,649.9072285782373,0.004856232,0.00809372,531660.3967065483,66069.0318016169,7508.884867937985
2025,736174.0,73578.03645661089,499773985.36883116,10235421948.646498,108715119.15229313,6073.440527105156,56062.14752580423,164.95929296184002,10006.884275812676,134.15287643322398,151.86908902295997,291.830444657856,42.799062030712,649.9128941822374,0.0145686959999999,0.025899904,531660.3109131163,66069.0318016169,7509.004654993986
2026,742344.0,73578.24675089914,530932137.11818886,10930700666.098766,115495164.81759386,6073.497122288886,56062.14752580424,164.9608301303447,10006.884275812676,134.174729477224,151.87718274296,291.84906021385603,42.828199422712,649.9412222022373,0.04451546,0.042087344,531660.1410874281,66069.03180161692,7509.214949282221
2027,748484.0,73578.53433695818,580303191.9369088,11855746194.896229,126168671.05952694,6073.581435092608,56062.14752580424,164.96312013062175,10006.884275812676,134.213579333224,151.90551076296,291.882244465856,42.851671210712,649.9816908022374,0.053418552,0.06986499104,531659.909348037,66069.03180161692,7509.50253534126
2028,754583.0,73578.92986248586,511878067.33895177,10348482760.536522,110972366.934654,6073.679931358641,56062.14752580423,164.96579536459026,10006.884275812676,134.256218668928,151.93869501496002,291.899241277856,42.90185227471199,650.0423937022374,0.088221548,0.1257116590399999,531659.5866659894,66069.0318016169,7509.898060868964
2029,760636.0,73579.51205347793,543966154.9945003,11130871630.931192,118203545.67921641,6073.85564869724,56062.14752580423,164.97056798199014,10006.884275812676,134.307209104928,151.98887607896,291.937281761856,42.976314498712,650.1079528342374,0.1473057039999999,0.1890951991039999,531659.1050087101,66069.0318016169,7510.480251861027
2030,766643.0,73580.33440776379,428914145.83707434,8774913925.091108,93170013.52308026,6074.094971045377,56062.14752580423,164.97706816012845,10006.884275812676,134.3824208074,152.05605395496,292.024116046248,43.0528438588,650.1743213382374,0.2393652940239999,0.3014456417142284,531658.4611748039,66069.0318016169,7511.302606146888
2031,772596.0,73581.52866000746,469011517.67679846,9553220819.075369,101918756.82820237,6074.513570367193,56062.14752580423,164.9884376380797,10006.884275812676,134.47431204804798,152.15075047896,292.12199968114817,43.19259340111851,650.3246039124534,0.3518599083039999,0.3787309552502282,531657.5289396024,66069.0318016169,7512.496858390554
2032,778493.0,73582.97159363804,524085761.63384223,10736273614.322628,113778227.94518216,6074.941258541249,56062.14752580423,165.00005397621382,10006.884275812676,134.633745382096,152.30555503485675,292.31093839580456,43.32370519014251,650.4432092853333,0.46099401004,0.5203322053942283,531656.4087465013,66069.0318016169,7513.9397920211295
2033,784328.0,73584.94106571306,434673500.6861802,8856262709.143578,94434482.2003155,6075.480459045734,56062.14752580423,165.01469907458724,10006.884275812676,134.854927324768,152.51019827008076,292.4467453929688,43.55946877876652,650.6762614777574,0.6398733157600001,0.7266314157302283,531654.7650245456,66069.0318016169,7515.9092640961535
2034,790085.0,73587.2896847051,478991333.628112,9706680048.945705,104004439.16403602,6076.155076181219,56062.14752580423,165.03302219229832,10006.884275812676,135.095569807808,152.69563672648877,292.68260591019697,43.80735999743852,650.9535863185814,0.876553113488,0.9584728406864792,531652.9074089247,66069.0318016169,7518.257883088204
2035,795762.0,73590.1798590312,441701679.66375804,8962269400.663166,95881980.9069036,6077.086432938622,56062.14752580423,165.0583185546338,10006.884275812676,135.39031982901372,152.89360588020074,292.9730475180337,44.09942835861452,651.2703842318455,1.141955904752,1.2345641985824791,531650.5595174978,66069.0318016169,7521.148057414298
2036,801351.0,73593.4150950837,519985699.6955146,10571404973.054258,112951904.56924486,6078.196847082994,56062.14752580423,165.08847825263905,10006.884275812676,135.73919436345494,153.16393612820076,293.3054776427094,44.40125936485451,651.620966805373,1.418531267104,1.448602559475081,531647.9321513235,66069.0318016169,7524.383293466806
2037,806861.0,73597.32222398194,464452667.4406307,9504469881.613531,100961346.58589081,6079.408811263446,56062.14752580423,165.12139612734455,10006.884275812676,136.11874815403772,153.5632924400021,293.6230911316774,44.75265475813791,652.0391445648029,1.763924293128,1.899359632459081,531644.8475422331,66069.0318016169,7528.290422365036
2038,812298.0,73601.97410047123,532237053.79740083,10849241302.266237,115587287.62874116,6080.83485904767,56062.14752580424,165.16012867657517,10006.884275812676,136.53372823637466,154.0234720409408,294.03159852243977,45.18849024892991,652.5937385307186,2.270178385408,2.306105165252696,531641.1668772235,66069.03180161692,7532.94229885431
2039,817679.0,73607.63158792627,371897295.09189826,7703815646.900909,80866315.00932015,6082.474660887937,56062.14752580423,165.20466694956238,10006.884275812676,137.07439682609464,154.58346681527678,294.631781497915,45.71645253377433,653.229399701788,2.748311242180447,2.936649854835912,531636.636236067,66069.0318016169,7538.5997863093635
2040,823018.0,73614.30439921735,408671669.0218623,8251852846.496408,88697570.6513142,6084.574301025418,56062.14752580423,165.26169478263452,10006.884275812676,137.74109920491065,155.2261276082048,295.2182653101994,46.35082882791158,653.8798887407002,3.446018557389872,3.5743735430713093,531631.4048972441,66069.0318016169,7545.27259760044
2041,828332.0,73621.85243110306,380066328.2235503,7692211253.918347,82416568.33655986,6086.903331203325,56062.14752580424,165.32495302476593,10006.884275812676,138.46810061853628,156.03396018266076,295.98774220939714,46.91897883451958,654.727435580452,4.233026405025425,4.223101427457683,531625.2487553199,66069.03180161692,7552.820629486139
2042,833640.0,73630.03806083351,392713592.2273919,8013363813.61275,85241959.81831111,6089.531360054337,56062.14752580423,165.39633229969445,10006.884275812676,139.2044671334151,156.76393670773138,296.57326010988527,47.71567283151157,655.6140869201785,5.173286807377424,5.033856352474305,531618.7149776893,66069.0318016169,7561.006259216605
2043,838955.0,73639.2045607976,431073795.81927824,8759274529.556154,93679543.5482104,6092.363343567167,56062.14752580423,165.47325113933255,10006.884275812676,140.0906628984902,157.69895723575542,297.428575911289,48.69280783591654,656.4558279811642,6.161595255319999,5.8077373562628285,531611.6050824558,66069.0318016169,7570.172759180698
2044,844291.0,73649.02668062098,502918445.3385235,10265590823.11813,109141452.86625032,6095.398920268707,56062.14752580423,165.555699725794,10006.884275812676,141.11493595796367,158.58810467332304,298.31574725289425,49.641892184849645,657.5191469211403,7.082287865460446,6.778144153951027,531603.8193276763,66069.0318016169,7579.994879004084
2045,849660.0,73660.6178553149,488934000.9771938,9952257336.390886,106302320.294191,6099.249495500532,56062.14752580423,165.66028429608878,10006.884275812676,142.17957976453792,159.559720146955,299.43159742664983,50.80307706703306,658.5957615834014,8.278247365639315,7.8282905471484785,531594.7401379364,66069.0318016169,7591.586053697985
2046,855071.0,73673.01599127981,439771577.62029827,9004623950.017155,95542180.66374,6103.058244067618,56062.14752580423,165.7637328221576,10006.884275812676,143.5114702952906,160.66525308699346,300.66551196641853,51.943661895617055,659.8104404750814,9.541328472832058,9.024546580905367,531584.9070531271,66069.0318016169,7603.984189662913
2047,860540.0,73687.06397142677,557318691.2796088,11405695808.456629,121111869.57088916,6107.368952503844,56062.14752580423,165.88081496244223,10006.884275812676,144.7735656004328,162.1052021207925,301.8767550908608,53.32112325765273,661.5181328232546,10.807890916859606,10.379732533734629,531573.5946262932,66069.0318016169,7618.032169809873
2048,866088.0,73702.25492887128,447595569.4247944,9204160518.575756,97190965.64505063,6112.228802996866,56062.14752580423,166.0128122212696,10006.884275812676,146.0952319943953,163.66540600984757,303.35270660739025,54.71554892509912,663.2420550692838,12.246207104452786,11.664356325773044,531561.745118923,66069.0318016169,7633.223127254378
2049,871726.0,73718.99440572459,440099373.1102068,8996171485.307457,95573041.95471346,6117.608697986378,56062.14752580423,166.15893428663242,10006.884275812676,147.6495237237884,165.1856445535773,304.8585261475838,56.29142516493752,664.9305499161883,13.917072834381637,13.362229494218532,531548.7610688133,66069.0318016169,7649.962604107686
2050,877459.0,73737.75466557611,415262116.1138522,8536001579.957839,90137364.68096934,6123.677744296998,56062.14752580423,166.32377422931145,10006.884275812676,149.50722585617643,166.88432353513537,306.5555024054602,58.19932755211788,666.7891591725042,15.64433126193823,15.141475649570545,531534.136530398,66069.0318016169,7668.722863959213
