Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2020,704990.0,73561.10530039854,477546226.82906634,9798864865.321384,103710836.07882462,6071.66944379773,56054.19070013445,164.91118898372986,10005.464012101877,134.005452560912,152.06322984711198,290.986180630936,42.740089568048006,645.0750027737466,0.0,0.0,531802.6659414746,66059.65471223633,7501.450588162215
2021,711405.0,73561.10530039854,475347713.461979,9723403662.72922,103297200.30562407,6071.66944379773,56054.19070013445,164.91118898372986,10005.464012101877,134.005452560912,152.063229847112,290.986180630936,42.740089568048006,645.0750027737466,0.0,0.0,531802.6659414746,66059.65471223633,7501.450588162215
2022,717575.0,73561.10934725855,482978260.44794047,9837003079.507576,104623070.32626942,6071.673383648372,56054.19070013445,164.9112959930886,10005.464012101877,134.005452560912,152.06322984711198,290.986180630936,42.740089568048006,645.0750027737466,0.0,0.0,531802.6618946147,66059.65471223633,7501.454635022215
2023,723768.0,73561.13039093054,450304347.71469176,9161697864.239061,97843359.99247895,6071.677323499013,56054.19070013445,164.91140300244732,10005.464012101877,134.00869004891197,152.070514195112,290.98779937493595,42.744945800048,645.0750027737466,0.0,0.0,531802.6448978026,66059.65471223633,7501.475678694216
2024,729975.0,73561.19352194654,501322189.149969,10213575354.71629,109066744.17924334,6071.685991170424,56054.19070013445,164.91163842303658,10005.464012101877,134.015165024912,152.07860791511197,290.997511838936,42.751420776048,645.0790496337465,0.007284348,0.01214058,531802.5898605066,66059.65471223633,7501.538809710215
2025,736174.0,73561.35906118296,499608301.2356502,10232088121.675062,108682023.88072066,6071.735633288504,56054.19070013445,164.9129867409567,10005.464012101877,134.031352464912,152.09641409911197,291.01127116293594,42.766798844048,645.1000933057466,0.015805416416,0.033993624,531802.4607430103,66059.65471223633,7501.7043489466305
2026,742344.0,73627.0279034852,532741547.5058548,10979614755.386305,115873792.0703611,6092.082572928219,56054.19070013445,165.46562519389374,10005.464012101877,140.2596828451359,158.63140567211258,297.5853673609236,48.95607814293543,651.9588906487953,6.1348691840260825,6.298699272835791,531748.5653976536,66059.65471223633,7567.3731912488765
2027,748484.0,73671.06464371082,583744189.5599254,11944850229.549017,126889931.86973554,6106.266812619493,56054.19070013445,165.85087999967178,10005.464012101877,144.50464117691996,162.71036602797065,301.7769777990719,53.039964905392594,656.4064812778522,10.394023728416492,10.459783939712668,531712.159884473,66059.65471223633,7611.409931474502
2028,754583.0,73688.15242818135,515389067.7474512,10432953028.995634,111707687.95720428,6111.982600396523,56054.19070013445,166.00612517021565,10005.464012101877,146.18471261538804,164.28563959286816,302.9440722969746,54.66080443648131,658.2312273890905,12.121610528393342,12.080923519091773,531697.5352048291,66059.65471223633,7628.497715945025
2029,760636.0,73690.61914578883,547846736.8659749,11231112833.048185,119017085.6861206,6113.133485870669,56054.19070013445,166.0373841005119,10005.464012101877,146.24123961184551,164.4380987929734,302.91733622535725,54.95716684268945,658.5935573335864,12.344016776965384,12.302147997914206,531694.9346539677,66059.65471223633,7630.964433552512
2030,766643.0,73694.74087982469,432057050.30744034,8856294394.635157,93828624.91381386,6114.462044335622,56054.19070013445,166.07346876521865,10005.464012101877,146.52762826810135,164.79386123166523,303.2824973531092,55.32105190966522,659.0142202430759,12.820272822708914,12.791122659199509,531691.0379757286,66059.65471223633,7635.086167588367
2031,772596.0,73833.93739379347,475766216.033563,9725531555.391457,103330350.96981257,6153.446721281955,56054.19070013445,167.13232242760537,10005.464012101877,160.23497473684554,179.3349687635641,317.01381721634647,69.67545928585984,674.081649035726,26.732905821111004,26.629862988127275,531575.098809713,66059.65471223633,7774.28268155714
2032,778493.0,73992.46693754834,536352128.0976173,11067930356.859741,116337021.70368016,6202.059858514185,56054.19070013445,168.45269244040065,10005.464012101877,175.55694795237625,194.19851815266625,332.2407353631299,84.92067003062313,690.9238322038261,42.2444663662234,42.21450428857238,531445.2164037237,66059.65471223633,7932.812225312004
2033,784328.0,74144.14418535281,448435270.25476813,9202429289.224287,97305693.21294618,6249.127138838556,56054.19070013445,169.73107579647274,10005.464012101877,189.8380183601581,208.71728984211435,346.2089594457366,99.7488218512467,706.7926658128187,57.32832189307478,56.997181276299,531320.9741559831,66059.65471223633,8084.489473116476
2034,790085.0,74255.2989527043,497157084.3354862,10150324198.014471,107805852.14800186,6286.367787964368,56054.19070013445,170.74256032848018,10005.464012101877,200.43210481063213,218.90771896439887,356.2437770170108,110.03879537409404,718.0159624954556,68.0533020690998,66.84223144443185,531232.7859684543,66059.65471223633,8195.644240467971
2035,795762.0,74425.85545147282,462778939.43413585,9483111852.896479,100295166.64340393,6340.936989574313,56054.19070013445,172.22470160818727,10005.464012101877,218.1042119152213,235.8313899292576,372.393283248061,126.6148005683656,734.7101969319515,82.2848468257394,83.10031863538954,531085.3132940619,66059.65471223633,8366.200739236489
