Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2020,704990.0,73555.91469148683,477178110.9874304,9791833219.32293,103628619.358122,6066.672773186907,56051.1789298279,164.77547558578908,10004.926422333145,134.01037678016,151.857872745784,292.382415318184,42.92263209144,647.1877936175237,0.0,0.0,531534.7046318274,66056.10535216104,7499.809339325789
2021,711405.0,73555.91469148683,474978341.5387082,9716249237.275143,103214882.01557693,6066.672773186907,56051.178929827896,164.77547558578908,10004.926422333145,134.01037678016,151.857872745784,292.382415318184,42.92263209144,647.1877936175237,0.0,0.0,531534.7046318274,66056.10535216104,7499.809339325789
2022,717575.0,73555.92098069777,482609828.6545849,9829887352.46202,104540367.42060976,6066.675925067421,56051.1789298279,164.7755611932761,10004.926422333145,134.01037678016,151.857872745784,292.384034062184,42.9240650703758,647.1877936175237,0.0,0.0,531534.6983426164,66056.10535216104,7499.815628536725
2023,723768.0,73555.92745567377,449951030.81522423,9154683626.485376,97764757.90530756,6066.675925067421,56051.1789298279,164.7755611932761,10004.926422333145,134.01118615215998,151.861110233784,292.38646217818405,42.9240650703758,647.1877936175237,0.0,0.0,531534.6918676405,66056.10535216104,7499.822103512724
2024,729975.0,73555.98734920177,500928589.1939595,10205792736.607557,108979244.90575477,6066.694836350498,56051.178929827896,164.77607483819804,10004.926422333145,134.02089861616,151.867585209784,292.397793386184,42.9281119303758,647.1926498495236,0.00404686,0.0,531534.6392584605,66056.10535216104,7499.881997040724
2025,736174.0,73556.10633292151,499217223.0804047,10224479384.724083,108595021.58114348,6066.731082976398,56051.1789298279,164.77705932429848,10004.926422333145,134.02692474956416,151.882153905784,292.40426836218404,42.93908864470872,647.2064091735236,0.015378068,0.018615556,531534.5497726621,66056.10535216104,7500.000980760463
2026,742344.0,73567.71412334409,530681036.048918,10928082408.348707,115438202.9753569,6070.229517705479,56051.178929827896,164.8720794890316,10004.926422333145,135.12307829283617,152.9693194810702,293.5640441933763,44.07634099313077,648.4076515772756,1.117048290824,1.2496911600243188,531525.1055053575,66056.10535216104,7511.608771183048
2027,748484.0,73576.1198721672,580292198.5008426,11859399015.812983,126161631.19103748,6072.837490602847,56051.178929827896,164.9429140289095,10004.926422333145,135.95646112258814,153.72318939028835,294.40110791783223,44.878398870927285,649.3404174117128,1.884677739296,2.049862921746968,531518.2859204615,66056.10535216104,7520.014520006149
2028,754583.0,73583.6889620733,512069535.99777865,10355664628.667252,111008864.87639944,6075.239196013576,56051.178929827896,165.0081461859856,10004.926422333145,136.68881813930017,154.48173669939104,295.06463897040754,45.60510485233529,650.1300342599368,2.6381642214400003,2.7277705698852213,531512.1462586456,66056.10535216104,7527.583609912258
2029,760636.0,73589.79337299509,544365348.9975517,11144891533.207468,118282729.21566318,6077.219576202685,56051.178929827896,165.06193482758556,10004.926422333145,137.1889324069159,155.04803394541682,295.5930593505352,46.23430296102788,650.8299249924636,3.202379266878479,3.309876880530179,531507.0390698189,66056.10535216104,7533.688020834041
2030,766643.0,73596.7890948254,429382175.40765715,8789948339.55985,93264542.38911383,6079.441282985778,56051.178929827896,165.12227808417498,10004.926422333145,137.86624795605266,155.66819265528494,296.22224429369425,46.87847242336389,651.5531733366876,3.903136781966479,4.028714147354179,531501.0888850105,66056.10535216104,7540.683742664358
2031,772596.0,73627.49415117982,470242820.7174203,9587293566.520435,102171983.71086864,6088.255124453621,56051.178929827896,165.3616687640251,10004.926422333145,140.91156652194127,158.52623973784466,299.21378997250224,50.01128833808823,654.8787276996133,6.965057503621628,7.265336027516216,531475.9168942997,66056.10535216104,7571.388799018773
2032,778493.0,73661.82634685251,526441793.061236,10804054069.597889,114264969.00024164,6098.626064158711,56051.178929827896,165.64335142370808,10004.926422333145,144.2555246959882,161.91315409656437,302.48439426087515,53.3501318139224,658.5197673762192,10.342285580717878,10.586321284756648,531447.951706874,66056.10535216104,7605.720994691463
2033,784328.0,73703.2733315764,437550067.64390826,8931269845.499304,95030594.49073161,6111.09377174743,56051.1789298279,165.9819839038504,10004.926422333145,148.3083282408667,165.919914361841,306.50561439332495,57.284574099855945,662.8425967851186,14.666962274664517,14.564233608410516,531414.4739011149,66056.10535216104,7647.167979415362
2034,790085.0,73745.78370477587,483192654.302785,9812041595.99044,104878201.18152767,6124.00289149774,56051.178929827896,166.33260547613173,10004.926422333145,152.19273084430418,170.12077203976602,310.2846003185988,61.450840135110845,667.4943058374798,18.91541400662201,18.88419245906801,531379.8972074157,66056.10535216104,7689.678352614822
2035,795762.0,73790.47178019013,446617121.8399841,9086393811.270178,96905422.31299761,6137.731084808946,56051.178929827896,166.7054737131966,10004.926422333145,156.56699099997198,174.39802298999905,314.32150020242244,65.71813010445737,672.2629685501098,23.25683783865254,23.4054188213209,531343.7475559493,66056.10535216104,7734.366428029078
2036,801351.0,73845.78490889141,527280954.0406425,10756721503.454624,114473089.63678499,6154.806535265873,56051.178929827896,167.1692560161283,10004.926422333145,162.0705718158848,179.74923618053677,319.3650081629661,71.11531723993366,677.977605591022,28.596319565029987,28.829706892991148,531299.0231620591,66056.10535216104,7789.679556730366
2037,806861.0,73917.09241500165,472794394.01715124,9721139700.131664,102691405.85819355,6176.499514963218,56051.1789298279,167.75845394720858,10004.926422333145,168.9463773379423,186.5997182770138,326.1110490950642,78.18839221050354,685.8147701944106,35.43554213448436,35.63324468075483,531241.8004818854,66056.10535216104,7860.987062840599
2038,812298.0,74005.04721652242,544228722.8513637,11160055547.33408,118086995.42955288,6203.802165679563,56051.1789298279,168.50001483646926,10004.926422333145,177.428765172571,194.73439843554303,334.30182582645455,86.51406488259325,695.5292956846635,43.89775808997812,44.23357575353811,531170.9660610987,66056.10535216104,7948.9418643613735
2039,817679.0,74103.86974258051,382523491.4679089,8000408646.048984,83062011.9820465,6234.395464743954,56051.178929827896,169.3309522533271,10004.926422333145,187.2094848123297,204.53666978224877,343.22670710469487,96.02737128044484,705.8034126727173,53.34681469245244,53.88751307729631,531091.3481998919,66056.10535216104,8047.764390419466
2040,823018.0,74210.77737534813,422180447.1995197,8565722394.185835,91516175.05574702,6268.1517032515,56051.178929827896,170.24779752618434,10004.926422333145,197.6983385379044,214.5258562834441,352.99985355247355,106.52701937106876,716.4767965502654,64.17021593785888,63.8744421763841,531005.8804856169,66056.10535216104,8154.672023187084
2041,828332.0,74324.93585920085,395031202.48246175,8048565013.562752,85534810.32914878,6304.731569581133,56051.178929827896,171.24133469172423,10004.926422333145,208.70536924916613,225.1072715092371,363.6092958140486,116.91907506982082,727.9352591306017,76.08278894433779,74.49854304974075,530914.3932313578,66056.10535216104,8268.83050703981
2042,833640.0,74452.09835490774,411036783.4745759,8482958876.141043,89060003.19277698,6345.5377030692935,56051.1789298279,172.34966050782003,10004.926422333145,220.7122179302886,237.1852198319152,375.415335288416,128.87849360599648,740.9167607237623,88.17315047705425,86.82446131213861,530814.0378246327,66056.10535216104,8395.993002746683
2043,838955.0,74592.6119096593,454325541.04570156,9316143931.337538,98535965.51239553,6390.752273892264,56051.1789298279,173.57772285588183,10004.926422333145,233.3433576761992,250.5877856275476,388.6930607332251,142.22207986747816,755.8627580233484,101.59421677544424,99.8733020468645,530703.4091506889,66056.10535216104,8536.506557498253
2044,844291.0,74745.94971969983,534412476.5416112,11080175678.25417,115732178.20491165,6440.359889464775,56051.178929827896,174.92510366151302,10004.926422333145,247.96428521596516,264.7826847650526,402.67419369579454,157.24578899600988,771.5171277587662,116.04014099531828,114.33515298559252,530582.6703102454,66056.10535216104,8689.844367538784
2045,849660.0,74914.00186146528,523734639.4012473,10798914653.9323,113575742.69605908,6494.474810997062,56051.178929827896,176.39490634663233,10004.926422333145,264.21556112544687,280.3172481729269,418.0763072456165,173.21191582472093,788.5029413569566,131.82558059539048,130.87723763948068,530449.7295479391,66056.10535216104,8857.896509304233
2046,855071.0,75092.53126431565,475808798.2285142,9927222457.195469,103043033.90555,6552.927580912627,56051.178929827896,177.9825283137694,10004.926422333145,280.7701228906384,296.74691970340047,434.81944115420936,189.790628172678,806.8073307747693,148.9799680586771,147.6013921738341,530309.7924686279,66056.10535216104,9036.425912154602
2047,860540.0,75282.1207408346,608573006.1438464,12717817844.495966,131832236.36829954,6616.152941516831,56051.1789298279,179.69977749666342,10004.926422333145,298.1751604673166,313.7507385556196,452.050117080542,208.03251007618027,825.6163740760328,167.06289026142616,165.47487914294263,530162.0009625475,66056.10535216104,9226.015388673553
2048,866088.0,75484.92301083189,494160813.8976593,10437660217.989838,106910263.0431064,6683.68242532932,56051.178929827896,181.5339299600112,10004.926422333145,317.10780585562605,332.75953577096874,470.222312764612,227.48003949986852,845.6452695689655,186.17938128798377,184.2069586334816,530004.0398241412,66056.10535216104,9428.817658670838
2049,871726.0,75703.90753602958,490752922.25001794,10272370113.290613,106151193.14905235,6755.763775852159,56051.1789298279,183.4917146069368,10004.926422333145,338.3036282590374,351.8010789387094,490.5802036941756,247.79364291573415,868.821327087274,206.69122778267047,204.55558473183808,529833.0577594524,66056.10535216104,9647.802183868534
2050,877459.0,75935.3665516924,468780046.66375583,9940383604.086615,101290771.6226306,6833.118817684605,56051.1789298279,185.59273674599703,10004.926422333145,358.8837954073944,373.180845969593,511.6920020984296,269.86666570805664,892.325623529674,228.2606044554273,226.3401079321686,529653.270660618,66056.10535216104,9879.261199531345
