Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2020,704990.0,73556.76537231605,477748371.1627096,9803448043.253542,103753314.64929718,6074.047526871564,56045.70555376051,164.9757795400568,10003.94944511551,134.392984730744,151.982462615232,291.89483991292,42.742184222784,647.0745955467279,0.0,0.0,531500.2266197673,66049.65499887602,7507.1103734400285
2021,711405.0,73556.76537231605,475547011.27136624,9727795909.930855,103339224.85893506,6074.047526871564,56045.70555376051,164.97577954005675,10003.949445115511,134.392984730744,151.982462615232,291.89483991292,42.742184222784,647.0745955467279,0.0,0.0,531500.2266197673,66049.65499887602,7507.1103734400285
2022,717575.0,73556.76537231606,483185314.29519606,9841582912.665367,104666075.57341485,6074.047526871564,56045.70555376053,164.97577954005675,10003.949445115511,134.392984730744,151.982462615232,291.89483991292,42.742184222784,647.0745955467279,0.0,0.0,531500.2266197674,66049.65499887604,7507.1103734400285
2023,723768.0,73556.77751289606,450491300.259878,9165686236.73645,97882802.59836708,6074.04910281182,56045.70555376053,164.97582234380027,10003.949445115511,134.392984730744,151.982462615232,291.89888677292,42.742184222784,647.077833034728,0.0,0.003237488,531500.2144791873,66049.65499887604,7507.122514020029
2024,729975.0,73556.81796692737,501529494.7837921,10218022471.757933,109110652.27614997,6074.057770483231,56045.70555376053,164.9760577643895,10003.949445115511,134.400269078744,151.986509475232,291.90617112092,42.746216514088005,647.0802611507279,0.003237488,0.006474976,531500.178072016,66049.65499887604,7507.162968051332
2025,736174.0,73556.93046963535,499814403.9067661,10236650318.960148,108725661.21092758,6074.08928928836,56045.70555376051,164.97691383925942,10003.949445115511,134.414028402744,152.001887543232,291.91426484091994,42.751072746088,647.0899736147279,0.018615556,0.0194249279999999,531500.0995629319,66049.65499887602,7507.275470759332
2026,742344.0,73557.23998507058,530978383.9100864,10932158301.553215,115507051.01419254,6074.176896051783,56045.70555376053,164.9792933060029,10003.949445115511,134.435881446744,152.03345305123202,291.92559604892,42.802252575136,647.1312515867279,0.045324832,0.055037296,531499.8361817008,66049.65499887604,7507.584986194544
2027,748484.0,73557.55293143156,580356611.9943167,11857308436.427061,126181992.69674021,6074.269603343766,56045.70555376053,164.98181130700573,10003.949445115511,134.455306374744,152.090109091232,291.94987720892,42.832199339136,647.161198350728,0.071224736,0.0866028039999999,531499.5944600758,66049.65499887604,7507.897932555533
2028,754583.0,73558.17454959884,511925278.0846092,10349874651.107906,110985006.66613051,6074.456035542647,56045.70555376051,164.98687494821132,10003.94944511551,134.50548743874398,152.141099527232,292.029744419136,42.892092867136,647.2022733637061,0.142449472,0.1634931439999999,531499.0837258724,66049.65499887602,7508.519550722814
2029,760636.0,73558.83492347134,544025577.3233502,11132551161.2107,118217984.39851919,6074.639762571655,56045.70555376051,164.99186511493275,10003.949445115511,134.55903710900802,152.215948631048,292.101547046744,42.937432267832,647.2581200317062,0.212814654936,0.2633971674479999,531498.53666408,66049.65499887602,7509.179924595311
2030,766643.0,73559.80471397545,428962894.1896378,8776320745.55613,93181991.80464962,6074.925461180192,56045.70555376053,164.99962490779714,10003.94944511551,134.64901337550398,152.30096992216,292.193964379192,43.02453507956255,647.3766768422662,0.307770177976,0.371699234768,531497.793497736,66049.65499887604,7510.149715099417
2031,772596.0,73561.32172977246,469070634.30648863,9554839129.404325,101932775.1456578,6075.385531093501,56045.70555376053,165.01212075875245,10003.949445115511,134.800365939504,152.442388254232,292.32399646596804,43.14468797170655,647.5942481586413,0.448945698448,0.5144465556639999,531496.5557152788,66049.65499887604,7511.666730896419
2032,778493.0,73563.08098416639,524163667.8373619,10738482443.158478,113796551.21845753,6075.951228682826,56045.70555376053,165.02748553822934,10003.949445115511,134.93595355568797,152.63091041796,292.49369617264216,43.30959913545055,647.7876880666414,0.6549424414172293,0.634481279496,531495.1355031367,66049.65499887604,7513.425985290351
2033,784328.0,73565.44941046159,434749690.3598047,8858233598.380072,94452322.87793761,6076.672825031223,56045.70555376051,165.04708464731826,10003.949445115511,135.155511898128,152.910250595064,292.7180330473702,43.49993429245855,648.0063160966097,0.8951682951755664,0.889287682222466,531493.2173542039,66049.65499887602,7515.79441158557
2034,790085.0,73568.31710696596,479088873.836549,9709142322.585392,104026824.10992286,6077.4981353306885,56045.70555376051,165.0695007066945,10003.949445115511,135.47059394275198,153.26817982066186,292.993943169495,43.69986050766654,648.2411621679895,1.2043144055515664,1.216418038438466,531490.8989849829,66049.65499887602,7518.662108089939
