Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2020,704990.0,73587.92114614445,476621174.00448316,9780323798.93551,103507384.34555939,6059.587644553314,56085.6978119022,164.5830380695699,10011.08791406139,134.02226807358397,151.79607071860798,291.029592107528,43.027589833656,647.0892168245917,0.0,0.0,531826.1504902728,66096.7857259636,7491.135420180851
2021,711405.0,73587.92114614445,474424708.5790545,9704886235.3191,103094278.21782807,6059.587644553314,56085.6978119022,164.5830380695699,10011.08791406139,134.02226807358397,151.79607071860798,291.029592107528,43.027589833656,647.0892168245917,0.0,0.0,531826.1504902728,66096.7857259636,7491.135420180851
2022,717575.0,73587.92923986445,482048719.2268563,9818391579.96856,104418341.27906846,6059.593948314339,56085.6978119022,164.58320928454387,10011.08791406139,134.02226807358397,151.79607071860798,291.03121085152804,43.027589833656,647.0892168245917,0.0,0.0,531826.1423965527,66096.7857259636,7491.143513900851
2023,723768.0,73587.93895232845,449428637.8530541,9144117127.520567,97650883.01239607,6059.593948314339,56085.6978119022,164.58320928454387,10011.08791406139,134.02226807358397,151.79607071860798,291.032829595528,43.02920857765599,647.0924543125918,0.003237488,0.0,531826.1326840888,66096.7857259636,7491.153226364851
2024,729975.0,73587.98346778845,500346209.6249439,10193952430.872774,108852186.16279954,6059.612859597418,56085.6978119022,164.58372292946584,10011.08791406139,134.025505561584,151.79688009060797,291.034448339528,43.030827321656005,647.0965011725917,0.009712464,0.007284348,531826.0930248607,66096.7857259636,7491.1977418248525
2025,736174.0,73588.07816431245,498635362.0427522,10212525168.760864,108468172.49610615,6059.649106223318,56085.6978119022,164.58470741556624,10011.08791406139,134.03036179358398,151.800117578608,291.03687645552804,43.047824133656,647.1062136365917,0.01618744,0.021043672,531826.0169438927,66096.7857259636,7491.292438348852
2026,742344.0,73589.47751975905,529759014.97559834,10907214354.514414,115240431.70721471,6060.080481871632,56085.6978119022,164.5964239083234,10011.08791406139,134.140436385584,151.965488465648,291.17285095152806,43.174474664216,647.2633240729998,0.144068216,0.154245259528,531824.8579719302,66096.7857259636,7492.6917937954595
2027,748484.0,73591.52725089215,579080608.9167056,11831718853.386276,125902762.71959579,6060.726200976436,56085.6978119022,164.6139621334044,10011.08791406139,134.330357144128,152.172687697648,291.342752703024,43.41100340003269,647.4763313584717,0.2984242111169329,0.3698053042879999,531823.1956959282,66096.7857259636,7494.7415249285505
2028,754583.0,73594.34767639796,510862951.68147385,10328846023.85579,110752087.18296774,6061.561623480038,56085.6978119022,164.63665284798432,10011.087914061389,134.61355599302146,152.424475233128,291.620367299024,43.67012546457669,647.8197640855118,0.5801067107889329,0.6352793202879999,531820.8504090175,66096.7857259636,7497.56195043436
2029,760636.0,73597.67208809365,542970773.8787968,11112286050.412622,117985796.45349073,6062.494171638773,56085.6978119022,164.66198156969173,10011.08791406139,134.92446410305564,152.7865712964577,291.942563723528,43.9859468051302,648.1673893595117,0.9456821685685792,0.977591465345602,531818.0515447538,66096.7857259636,7500.886362130062
2030,766643.0,73601.49294489218,428207649.71804374,8762309546.037382,93014906.65804988,6063.75301318611,56085.6978119022,164.69617266955896,10011.08791406139,135.2851935236422,153.15658586301356,292.29075555792804,44.34765267087274,648.5604414463837,1.2761956997445791,1.3412083113216018,531814.876005107,66096.7857259636,7504.707218928576
2031,772596.0,73608.8828789252,468382674.589647,9543038187.369907,101778842.31751439,6065.82856216252,56085.6978119022,164.75254616825845,10011.08791406139,136.00398080461974,153.8992178299238,293.08131038643296,45.097975750707896,649.392553209553,1.929614263948888,2.111392385644126,531808.7684735329,66096.7857259636,7512.097152961607
2032,778493.0,73619.4444904252,523658288.8280556,10732926553.825573,113679435.53862716,6069.072782312787,56085.6978119022,164.8406616704705,10011.08791406139,137.0048915417262,154.9992635331077,294.0098508567725,46.09372507863591,650.640930281719,2.9047466163642177,3.091912570020125,531800.072300683,66096.7857259636,7522.658764461603
2033,784328.0,73633.24015426943,434591503.3251954,8859396314.010477,94409240.27457276,6073.111310664534,56085.6978119022,164.95035119135034,10011.08791406139,138.41190774260804,156.39381717111928,295.45524682902527,47.42379970661561,652.1560634214766,4.1581607683936594,4.39377081070614,531788.7159803086,66096.7857259636,7536.454428305829
2034,790085.0,73650.77780620057,479283948.39749575,9719061116.131922,104057166.09247269,6078.287159530101,56085.6978119022,165.09093120782222,10011.08791406139,140.17843168121016,158.20894305180298,297.19529035231216,49.14473825814007,653.9764414665076,5.849192878388837,6.060951810682937,531774.4934917493,66096.7857259636,7553.992080236968
2035,795762.0,73670.97691626845,442396339.2485407,8984516784.19018,96019335.7576793,6084.443055390963,56085.6978119022,165.25813005075523,10011.08791406139,142.03295795072117,160.15495667439944,299.0602862247246,51.126096301616826,656.2001064470285,7.815802514076761,8.099798750576149,531758.14136689,66096.7857259636,7574.191190304862
2036,801351.0,73696.24280350792,521414852.97765684,10613395725.45383,113241184.27618484,6091.975410461757,56085.6978119022,165.46271457928896,10011.087914061389,144.45484244954127,162.6745905154583,301.52636785870584,53.53261622991131,659.0122132266639,10.27833803457202,10.53998418843371,531737.4555743007,66096.7857259636,7599.4570775443335
