,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
ALFA,1014.5917443687796,1362.0718226047904,1318.8883499214248,1435.7340082335327,1267.5061602933472,1528.3521594311376,1625.9955107386065,1900.483248502994,1257.867223677318,1634.8079154191616,1412.3589680460977,1331.9288398203594,1600.8043373493974,1506.2048128742517,1020.1533263488739,1019.5919049401197,1052.270728129911,1566.0560703592816,1366.0278103719224,1744.4580688622755,620.4129125196438,826.4295546407186,1109.179219486642,1102.3416504491017,1148.0438554216869,1437.3723016467063,1162.7934154007335,1504.0605538922155,1569.0760555264535,1413.6643001497007,1457.8428548978525,1332.8183769137113
APPL,2532.8527605558907,2015.3117937847533,2319.1805838399905,1717.3367551951847,2160.919145335543,2227.249168932877,2899.3785974427874,2462.106507167139,2263.378616838064,2687.3252421521847,2640.7004081142613,1966.0096153310233,3357.657795215245,1889.094361828609,1973.5899794320298,1866.384306465125,2048.2330022557458,2344.184922444475,2479.682399322033,2549.291720609868,1519.4803494578312,1350.1158542149842,2221.610247076035,1896.9752941861798,2431.375036456604,2143.3767404048867,1702.0976178827632,2417.8796850891936,2814.6885905864797,2381.329604977131,2543.0647304249665,2252.3181107425758
BERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE,823.3736343954864,626.4756848904685,902.1399174485551,502.94353456454144,766.6277172146358,789.6318977379473,1293.7062008520643,1173.8596888098,1147.3818172106176,1352.148414647786,734.3759377939614,699.2980997423914,1693.0158906558477,686.1395428363929,573.4563862878675,850.4357268259157,943.9754779727102,828.5646155002974,1014.1187880922201,788.3584890051087,539.3107420952626,597.0394673936551,1099.2094090288072,612.8088285410888,1094.5669887094275,698.1903376739872,529.1145572211001,1032.8896322894811,816.6000949670959,844.6254400060715,626.021306887333,860.6582021709011
BROC,1135.3971733858705,736.5595125817086,1159.6512708127536,546.9895201406692,502.50210219654804,703.819097314364,1083.9284749856176,1263.3845611248257,1336.1220677943893,1544.2661217882405,987.1447946266218,1195.3687133673086,1728.962987693925,840.8972964086212,1045.5245475849265,1166.5733411979554,1200.4442557265397,690.7006241574479,1419.7542275150204,764.081179736876,654.5425485169046,952.6032916202989,1064.564027834814,874.0191346910246,1426.3127756042811,796.5682309797771,457.73102670332185,1227.0295775739812,848.5698200183972,633.3122956426178,707.8825605542149,990.1679728993505
CABG,3119.3637499999995,2706.7775,2528.5637500000003,3375.69125,1870.3675,1940.595,3497.53125,3334.0200000000004,2095.5325000000003,3885.89625,1583.61,3456.6675,4097.5025,2403.48625,1643.6262499999998,1369.36875,2594.8137500000003,2146.4112499999997,3198.28625,4318.2474999999995,810.57625,1327.56,3255.2487499999997,1383.0825,1882.9650000000001,2020.44875,2588.9487499999996,3248.3925,1800.1350000000002,1592.0224999999998,2801.965,2512.1839919354834
CANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHER,3662.4804049169566,2644.385638125249,3749.2102933152414,2628.0400605431464,2963.8941021715827,2913.7810564900487,4057.425929796605,3953.268864471683,3561.549106552126,4023.1509664035507,3758.731116479978,3095.078463727506,5040.600791259612,2470.810617605753,2749.371612429754,2880.0442495646075,3114.7650519926265,3226.025994146405,4001.876340782136,3400.659353809477,2351.303934212464,2918.541996713349,3383.5948245614095,2803.4420641196843,3897.409491871733,3224.409410179845,2762.2619928877743,3793.7387762032,4253.033647032365,3429.7134593693872,3747.7311559907034,3369.688089281484
COLG,1424.7916337578772,1940.3577391316578,2330.302184642124,2710.1207591003704,1637.1733624334552,1967.4153096568743,2947.8055115907096,3524.765213409363,2024.406353470347,3116.2937905312288,1730.761272429651,3332.916213285582,3065.4507819806645,2036.171527943553,1980.5763522879179,2177.740787279904,2701.287166732308,1850.303525056371,3160.833379608366,3305.2306315761816,1073.5236131142601,1059.2192016674733,2624.8575581827827,1890.671048081046,2970.068184352962,2117.326111361307,2095.506283599036,3534.5790211721214,1557.445724015643,1541.311663489983,2406.032564244309,2317.265950618885
CORN,2935.0389080101645,2961.598083619697,2709.4562640649315,2754.465743618048,3317.252880406464,3290.276258682303,3547.2303332261135,3598.7839165209634,2869.0087227741565,3203.1972361559933,2523.730982162271,2698.5844617972443,2912.1511188660106,2599.9271053605603,2671.102566812634,2355.2372949689934,2848.9293813508534,3072.8674788314866,2993.8527533096726,2698.0913775504882,2298.7508079932013,2087.785190350098,2310.199723372841,2609.9648140718923,2586.920047499485,3104.2791617695893,2911.69523677435,3376.126079221487,2680.49263154455,2701.0255451064754,2577.4094441963334,2832.4332758061078
