,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
ALFA,1011.55868681605,1356.968533680685,1313.565242313705,1429.5348678823966,1262.6770661803023,1519.5042017119465,1619.2930693069306,1891.6142649795308,1253.9028452318917,1628.293453665798,1407.5185773840544,1328.8513770003724,1594.5613965607085,1500.7434722739115,1017.0192756644086,1017.7011053219204,1048.9519906201147,1559.4334946036472,1361.1969932256382,1736.4538072199477,623.2196873371547,826.9678265723855,1105.384325169359,1098.5165649423147,1143.984299114122,1432.5107071082991,1158.3366492965088,1497.444086341645,1563.1992704533611,1408.1408150353557,1452.2744293903074,1328.0426574969283
APPL,2403.6263789878394,1904.6022136964914,2327.3808699701603,1611.3015015534327,2197.8718889000133,2353.6005497859687,2948.8465784945683,2553.6728296539154,1727.5356568791917,2354.5586111037665,2263.029859649061,1613.2053727655268,3254.0172864872043,1733.1525261737315,1697.7557133939204,1405.575598120443,1712.4075991398486,2280.5044733696777,2197.795113312739,2386.4825537017573,922.381905515843,906.7964612991195,1878.0795153394185,937.472392223116,2116.009510587794,1803.3033603803226,1872.4895991765814,2455.0439698994523,2821.118954401503,2334.3494796576715,2597.421846215312,2050.690005478561
BERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE,738.2229090268389,537.13461655746,788.9572326775951,437.9916369213644,735.7737253156331,536.6181210551615,1145.9217683992758,1142.2154242825584,746.0597792568714,1267.1072576457173,634.2761761221489,521.1704192726058,1635.048760696316,494.4207836145858,413.1397483789725,342.7390532513572,733.5697044194102,625.7555820298029,925.220738312269,678.2034571563086,134.1205957040625,268.0086821577862,847.6174328824159,438.53157027635626,848.5178490392626,482.9106410845201,504.899085464113,1027.8630037345388,541.1216397444687,763.1261307803444,480.1165039462501,690.8509686840766
BROC,1026.2826515111628,668.8025367622097,818.5516910354256,535.2521563126486,379.9482711991891,585.2461108532331,1039.058257048044,1156.258396050642,1045.4309130541537,1525.7526472847521,824.3997182735303,1091.0749928489947,1522.0430674920858,778.5380758924823,806.9231085005086,1058.576925778944,1099.391942347029,560.7992364512296,1148.1672710091766,733.4144939304651,611.6799650773664,714.2786251930177,907.9230967010576,674.276025877224,1413.8676448818915,618.781042653751,457.43910728385436,1139.1756020982225,705.149258442692,505.9115006993845,630.3256295066514,863.9587084532587
CABG,2133.11625,2127.94625,1913.4787499999998,3308.1437499999997,2640.1,2577.775,3426.95125,3378.5275,1257.85,3605.3187500000004,937.00125,3215.0475,3630.14375,2002.17625,1079.715,604.27125,1915.7525,1953.9312499999999,2367.855,4040.5975,150.37500000000003,576.98125,2955.95125,811.8050000000001,1224.325,1314.5475000000001,2611.1025,3262.4625,1331.8425000000002,956.765,1811.7075,2100.7601209677414
CANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHER,3394.347381095043,2454.4142904942883,3615.2325930806687,2537.8327721016835,2964.064324551319,2795.459586063742,4046.4672032999365,3945.653263221755,3112.4453755880254,3830.6495432775077,3439.2099650513037,2630.048896080403,4960.207193058583,2091.2982360615483,2286.4967852168247,2278.404349847264,2806.9723282559485,2980.802153704118,3880.9793317406925,3309.188613543266,1763.8601580523573,2269.2842365081165,2954.623854808072,2069.320518002094,3537.254883933655,3096.81980695375,2791.9293219274773,3802.46558068979,4103.600600543253,3166.53697291519,3687.399481115701,3116.234503251076
COLG,1744.8947612448662,2412.7425724019313,2912.0166433026898,2771.3667405452493,1875.7140229500753,2608.8309717360667,2900.871710803143,3531.075107224896,2084.19431307318,3588.2021122225747,2336.612078457657,3571.3830663022054,3445.61767604416,2429.349259901256,2366.717769245907,2251.6156204347967,2971.634975142372,1913.5410141327482,3016.16291040372,3195.2173156596004,1165.539552847362,1202.189508635346,2835.5870347531654,2250.8244558295655,3105.618895268505,2303.4012931958496,2129.8656171502707,3723.061363401303,1683.040191642117,1711.9364753251532,2393.051508323784,2530.0605334710167
CORN,2936.0834817306895,2964.0947013666087,2709.7766395664435,2754.0953418150493,3316.2661122973673,3291.59781495603,3546.854827298833,3598.421932390156,2867.790176757997,3203.0148287611837,2522.6311522085985,2699.195281345538,2912.454815072201,2601.6448684169627,2672.2311285855285,2355.839350612027,2849.060404387121,3074.6285571039816,2993.8005675330423,2698.828800630972,2297.5154257203812,2088.4987169269257,2308.63719045738,2611.721905444541,2586.2159618132855,3106.20678107033,2910.7623862739424,3373.7347326041186,2680.8978415896217,2703.448020622714,2579.5912649855322,2832.759387430487
CRRT,4701.461648306053,4355.001630872338,4526.886817250464,3603.3529229477235,3332.4394373193177,3956.759240113666,4202.272258470827,3436.5611699684623,2516.216735151201,4471.441156537106,3786.700933163806,3628.930967403793,3763.0026081763654,3315.0654588021343,3772.962522669588,3353.4264618750494,4514.253716453007,2661.467942496181,4084.546381003796,3068.976397382006,3049.2575337949716,2364.8949867757374,1518.5933081888816,3456.2566453409104,4303.443611161378,2832.094496437479,2514.0745479411003,4021.368749794132,3219.818254243359,1527.5319373118218,2839.9858532850403,3441.904720343152
CUCM,872.9933460739059,1101.8323207732835,427.10019751380895,1324.7356046149864,1031.4257320090305,1172.326307214951,715.1678430763419,766.9726121636061,411.5809837673089,996.5303714996634,882.7908707522885,1154.402432138467,722.5084311784365,1089.380193743526,650.9493365933249,835.193442191773,1224.0134569980307,1148.7158655014598,649.2103678529935,1123.3345998194209,620.9547804249579,501.1317478889549,406.02510524606197,846.4579409695615,899.2167333018733,678.7981572610576,1058.820411474497,664.12433226338,1203.7347454356966,902.4561649712742,1102.0610249758633,876.933724506122
DRYB,1179.738358947798,1120.5679847617719,978.1680103920378,934.4051253867981,952.2661223948128,1056.127462263503,1204.6142959416145,1003.8707828984699,879.3972774099942,1188.7626779711957,1004.3405604631882,1077.086561314704,1231.439539841907,1001.6278650140456,859.5053023958907,993.1765936234721,1182.921506929424,909.5676615556089,1091.0003468306595,1006.0374294254038,895.047754986324,886.3953432016614,813.3854299538741,1024.1387149579011,1224.2349339140274,898.6264340784749,857.4601500667289,1012.5063204889974,1001.547543849963,942.1895286251561,930.5173110580942,1010.989384869145
FESC,9219.184494535519,8843.052021857924,9196.862643442622,8559.499890710382,8583.071707650273,8705.332281420766,10647.362745901639,11637.41068306011,12373.819658469945,12895.0418715847,12649.399262295081,12312.289651639343,13767.464392076503,13107.231543715847,12822.799993169398,12774.424692622952,12868.103005464482,12999.571953551913,13117.590785519129,12855.096475409837,12161.698101092898,11882.490765027324,11996.900484972679,11676.77524590164,13088.31818306011,12911.919398907105,13407.877827868853,13669.194781420765,13440.681536885246,13200.765601092897,13155.805293715846,11952.485063678829
FRSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAP,2428.6045662368147,1627.5717509522956,2083.7616055714607,1404.7820753740593,1069.3904427755338,1537.2583502568914,2899.913775674643,2782.035865933473,2141.2675724756514,2816.4052033371286,1671.281612892292,2098.698773815958,2900.335681425344,1395.7963352189884,1603.1417033170367,1396.9075667795455,1953.904129514946,1962.9878881777552,2658.3855184213553,2131.3421331485656,1058.2600150544024,1544.3167482326257,2029.70546397224,1431.7446229320833,2320.2312554905916,1377.720443889734,1717.6624791681631,2559.054415014009,2077.6162713036815,1476.1427452633745,1999.9568468736052,1940.522059951428
HAY,514.8783316008315,473.209643970894,732.0025415800417,459.096262993763,457.45706340956343,444.33472972972976,476.77237006237004,445.58575623700625,646.1518555093554,423.1874324324325,388.0337785862786,362.34938929313927,444.20186070686066,411.3427286902287,420.36589137214133,358.03201403326403,374.94689708939705,496.995433991684,430.2145841995842,489.8299688149688,413.4452104989605,439.4726143451143,402.80614085239085,375.64500259875257,371.9942489604989,420.2443737006237,543.1108134095634,442.51253898128897,441.4091268191268,450.48323544698553,499.15159823284824,453.20204639192536
HMEL,1106.3877499999999,1625.7044374999998,997.1333125,1604.5566875000004,1581.4751875,1508.6118125,1031.853875,1845.4605000000001,736.9895,1070.4549375,1006.2828750000001,1768.4964375000002,975.5362500000001,1468.8464375,1388.075,1274.8775,1506.6796875,1094.3765625,1011.2407500000002,1378.6565000000003,927.0836249999999,785.7581875000001,780.310375,1008.6090625000002,1274.0,993.8361874999998,1927.7838125,1703.7280000000003,1445.016625,951.8665000000001,1209.4671875000001,1257.7146955645164
KALE,2994.322364746713,3230.810658816048,2821.1453672537523,2208.394207410237,2553.0713477909644,3107.8784406631503,3535.7923128825987,3461.8048261750796,1466.9913955982668,3079.382271322203,2360.150196614595,3093.128594479539,4049.5041666775087,2091.651460309719,2062.4055621530133,1784.713260059037,2669.613390286227,1879.352603213085,2845.769880015909,3157.9522973716407,1181.7538952151242,734.4001633912021,2236.318044909102,1654.1801642748694,2388.3187642450293,2242.853245829889,2193.018939779283,3705.865510770423,1165.1070667947479,1990.269737287524,2267.6176043815144,2458.501217442516
LETT,1586.7080746181691,851.6629905845783,1362.5347409198505,195.29357862983292,485.5488464818123,894.0386260240322,1114.1011333293293,1526.5812403326872,2150.547636414137,2078.015810318014,1010.5898849357034,821.0786554929421,1945.4883124905828,905.9461598548176,675.997941505031,1314.004595875383,792.2900743950408,596.2281817791711,1645.6437822937921,455.00663269822394,1059.668140165907,1321.6168226475195,1094.7535902264003,1206.5563381320726,2028.5083442906136,1338.6077052242285,409.0805442171186,1465.959613972922,829.66926961024,672.3696440206584,435.2874623584682,1105.4640120593317
ONIO,1270.2638605566676,805.4466413584768,973.5343534200682,553.0536292511815,554.4729867586203,958.169635156009,1198.045463812216,968.2651540449159,1024.1669243168128,1389.1018200654244,869.1136138659219,726.6763946018799,1076.5735346014612,442.10056923781065,748.9967836336409,871.1201179321415,819.3258536293977,896.9734660858362,947.3710523619526,415.40682032294256,606.0826652869839,803.8244284948925,663.1599886475983,833.5351783432379,996.1722551831871,463.0639693343637,681.5410778595568,841.5637145504284,928.3719472978872,704.585320320544,574.1039673575112,825.9413931512767
PEAR,2319.4003612434767,1752.9715656255867,2501.393911172815,1600.1201869987497,2302.6347942222815,2372.205943166186,3210.2912339944396,2851.3922636019465,2190.4316158361894,2683.5976621953478,2427.41214787427,1729.4100980248247,3678.377493268513,1674.6919567992238,1594.2562080040352,1749.1726093876266,1960.374187614329,2582.7814288663762,2562.2511873305743,2554.122810293286,1427.6722927221917,1488.5719699588362,2258.818241023162,1328.3815960824604,2606.1714878503703,2008.6085723730048,2076.449396438162,2652.7513283819217,3098.9423922403453,2496.3680300990372,2748.861944105289,2273.8350618320924
POTA,5436.011724761202,4452.649356441295,5617.34401902553,3963.7205714890515,4912.638780954615,5348.948044745899,7047.842107558746,5389.325741123022,6814.18141128043,5273.552420141134,5662.0916784524325,4824.878532216747,7907.870525996198,4990.849263056806,3630.0122812405975,5396.946711083142,4023.7959186576672,5027.906083928317,6209.133138215177,5090.865098574549,4604.921608147592,4622.205616556939,5409.609864668774,4591.645516430705,5522.936726201037,5809.929391589076,3620.0221307316865,5026.711966118201,5429.367856519819,5394.594468375629,3980.4509242116164,5194.611596080438
PUMP,1064.622,1521.5403125000003,814.718125,1622.6778749999999,1434.8815000000002,1348.1723125,936.46475,653.729375,185.80900000000003,1011.3455625,1144.7076875,1640.7909375,767.2860000000001,1358.2798125000002,1065.9520625,1192.1593125,1527.3147500000002,1476.951125,791.2628749999999,1369.8514375,599.6176875,634.92,195.576875,896.831,1288.8581875,656.5788124999999,1388.7006250000002,490.19831250000004,1375.1083125,891.8853125000002,1332.5836875,1054.1734072580646
