,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
ALFA,1016.4051122715404,1363.0504514925374,1320.2865691906006,1437.9858395522388,1270.7518276762403,1531.379880597015,1627.4939843342036,1902.7088283582086,1258.4778328981722,1636.5881828358208,1414.6266266318537,1334.364343283582,1603.8146892950392,1507.9065,1018.7789295039164,1019.4070074626865,1052.7753733681463,1566.619436567164,1370.3726579634467,1746.1314216417913,622.1967049608355,827.1254925373133,1110.4082558746736,1103.3498880597015,1147.7642088772845,1436.9865708955224,1164.8006736292427,1506.892973880597,1571.3430548302872,1416.8584664179104,1460.212402088773,1334.4472318379467
APPL,2390.1816668375677,1936.024664692497,2331.4810130352453,1700.2574540728756,2204.5832186939983,2341.8326491322346,2906.147100546445,2522.082942536725,1944.8105688660269,2514.491143773784,2382.9288241248278,1659.0518330303378,3274.645416617042,1645.2216094205603,1762.4130093025506,1612.8100601672202,1772.8969607733534,2258.8504907120014,2422.275495841442,2447.80419537178,1001.7164067789708,1297.6617928751657,2079.933152184447,1257.145518594965,2222.0602826993145,2041.7544495082846,1849.259266695078,2431.7858675246794,2768.2083233458707,2315.270746219958,2572.1136723079967,2124.764509557524
BERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE,850.4715306622387,611.9666475397073,820.2533803866113,487.67758398324,734.5877412112458,647.2700928972644,1206.8291266525157,1190.0689051191302,1011.3840364334739,1357.4571601780929,738.0296545849988,652.7513870363572,1757.1717640504933,641.0203822870459,538.3323914834475,607.6425794035372,877.8398968732631,761.2637561295172,1038.749670624859,751.2317800147158,341.31351416177256,562.7468693025676,1109.8499065705928,605.3443757250187,1009.6316615207475,620.4859475174873,467.14660018585715,1007.4283595770613,731.3219712089615,746.40502026495,560.8773051263743,807.8887418939725
BROC,1197.599418365126,754.8664403261399,1014.753211420593,543.2826943047902,482.5193917469662,672.4597913759148,1121.5213621124112,1177.535466190315,1298.9574209480406,1535.4217895654137,934.2343998481505,1066.4119328391782,1564.7280207188348,845.9604459623087,921.4257468298199,1217.1525115558686,1152.0283184251516,689.8193579854708,1173.557375610874,781.2796398743674,784.7840498863703,949.2971664969908,1078.837785864056,840.5695755509172,1515.9705927758057,736.3956521528569,442.7632715636475,1138.594517216075,841.1768230225451,620.9910929756622,664.926342583904,959.9942453578893
CABG,2420.6137500000004,2060.29,2033.8687499999999,3324.6075,1525.52,1764.68125,3649.01375,3501.89875,1603.3425,3852.875,1133.0475000000001,3481.9025,3644.7974999999997,2103.0825000000004,1170.7475,873.18625,2168.34875,2119.7924999999996,2925.6262500000003,4290.02,645.40125,752.2375,3083.56125,898.7349999999999,1489.7862499999999,1580.82625,2575.04,3039.2375,1645.6637500000002,1298.1962500000002,2686.32625,2236.8475403225802
CANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHER,3616.4537536309485,2345.381041223141,3515.5562882856925,2407.414939895503,2843.11445141679,2822.579923098575,4065.0002970539263,3884.1268598430156,3391.838451237196,3703.550518835248,3565.842728192547,2739.7302591327816,4861.772137169258,2215.4654179012746,2574.3512876052946,2446.7447678694125,2656.485171750707,3047.0017429116347,3688.9483990431127,3232.2999047138187,2019.3269451709334,2442.7778463242607,2945.919253240578,2063.055065689575,3332.4001795353415,3096.663329238216,2567.483184631599,3745.504520389933,4063.7738500943374,3259.764915635571,3556.004720469296,3119.881682297726
COLG,1232.7898391604183,1981.016607551058,2012.9739601813385,2606.7436438414147,1653.500358353844,1778.039508217203,2554.1409091067108,3195.965749606938,1359.94850783946,3224.0799327636905,1328.667076524942,3063.652209743895,2663.7592901548855,2130.044308992369,1599.3619096718342,1369.3388936285521,2400.759860033997,1197.2482907408098,2585.828929105422,3073.625286322437,382.049632747629,449.63917458698705,2473.9445283204964,1698.8570094046322,2528.2681431867086,1526.115087701127,2095.907692809546,3246.1677982891083,951.228470224494,1033.8747420632399,2051.678872153449,1982.2327813880202
CORN,2934.9865130938924,2962.5636685071904,2709.3755456947183,2753.751700786748,3317.95160275826,3291.517028503489,3547.824925245216,3597.7605631074275,2867.6592626400993,3202.002433816626,2522.025569420682,2698.7941935046542,2911.7772669458745,2600.156883558531,2671.1341069199975,2354.262917070446,2848.317114316851,3072.650760783965,2993.45043549532,2698.317277389491,2294.8431516004803,2086.6724032679112,2309.589248976095,2610.690759274168,2585.646290788892,3104.562939217345,2911.937947274906,3374.3568110616043,2679.2758316995614,2701.6309243481073,2578.1285884865542,2832.0520859856483
CRRT,4399.844634306427,4016.8522256884035,3822.4485198142074,3655.7685105268597,3398.567448487575,3990.784761186356,4310.622926809302,3244.0796288412184,2370.204111486901,4541.503585136935,3770.9953139538025,3638.216088594683,3801.012788030481,3369.158067990149,3436.5447115952343,3323.582233832346,4595.212454359695,2643.2277338091226,3832.7471303038515,3102.2976733265873,3051.3364862026715,2328.939504884566,1590.8524964995145,3177.824281837989,4373.311137972986,2602.163226376029,2591.427169650598,4018.3057599134545,3224.9446043886787,1627.8907661030296,2856.6295997690186,3377.6546961831828
CUCM,868.1350153705279,1051.4602201550383,445.600733901084,1196.2724540258005,959.0196150736494,1103.7338328575913,709.4861772436759,747.883979255411,406.7953483283225,968.3442121331254,830.0418800286585,1052.387288976211,691.331964363165,1028.3153548539426,635.2104034522035,776.5299974292795,1161.0830452559733,1114.3432574551327,631.5331665950064,1019.2946076636084,596.8346550600029,498.23537252342396,409.39685863266993,837.179901551325,896.959912902843,664.2215315494765,979.4379995597023,655.289815638004,1132.9213899111403,855.084173410445,1052.406892193575,837.8958405596779
