,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
ALFA,1006.1348020833333,1348.6756191892896,1307.5199635416668,1423.3249535143173,1260.3308125,1516.3480736333206,1615.537578125,1887.1331052435849,1247.8419218749998,1620.9776571216066,1400.6301041666668,1320.379453328375,1589.9881562500002,1494.0842618073632,1012.3785520833333,1010.7179918185201,1044.1074166666667,1552.8624618817403,1355.916734375,1728.1332019338047,619.55215625,820.1480847898848,1099.9065,1090.302391223503,1138.3652395833333,1424.4094644849388,1156.4844010416668,1493.9953291186316,1559.077796875,1401.979854964671,1448.5204374999998,1322.4440153861362
APPL,2122.1197038686514,1719.5330270481757,2172.2190416115295,1526.6792859071656,2173.265313178536,2334.882008199192,2952.1732483559404,2538.0400132663203,1771.768196288105,2378.4006979987657,2109.745766132389,1462.1845255503185,3219.5311628543186,1290.623758454481,1274.860260216206,1159.1284132539981,1601.7682605463267,2174.7044470591495,2162.0707791446607,2367.148990655218,752.1410251118734,843.5211259614304,1827.829893468258,1012.8562177878739,2074.1643652384914,1869.938852803621,1896.1209615873593,2454.66254224778,2656.0743110851968,2313.8806180333495,2529.258192900624,1959.3966130908161
BERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE,686.8786260440249,490.9410533374072,801.7764439863151,432.7576624548644,837.1977975598759,552.9009581042401,1176.0268993361487,1120.637645591876,756.296225473084,1276.4432877050829,568.1771178115613,489.0832799828143,1608.1219751332758,454.7530087788086,331.48068789961127,338.46099807752995,727.4304249188143,632.9036957297658,936.9357823152677,692.0188490997515,157.45204342203755,297.15286113423,871.7926432973529,312.75211811150257,846.5299452755439,462.7742184392273,509.30712725655866,1010.9310963354114,560.6541422590116,732.2491324001701,415.11054107232013,680.2557512368866
BROC,1119.6087391235424,675.5359611074726,980.5201515744624,530.5539060332953,383.3315071125452,607.1111507670222,1087.6711022597333,1077.3327484797262,1152.4097414402106,1509.2633310200235,805.7072365788589,1059.280561738132,1488.7642536727988,766.8213667403674,822.8946808892006,1098.437696320185,1109.7206572782798,575.921213171,1079.030562839176,750.4945339260972,635.6517819335382,798.0650064937446,940.9086141224835,698.7614556742514,1417.3293685636893,625.3395907430121,453.0561850566617,1186.3756674779606,709.8241000893521,536.9059073634994,604.5692486522258,880.2321944594369
CABG,2349.2875000000004,2236.4612500000003,1943.3825,3393.065,2703.85,2613.09,3660.54875,3460.6462500000002,1509.7350000000001,3848.35125,976.60375,3328.14875,3733.4725,2149.41625,1169.90375,903.34625,2107.0575,2165.4674999999997,2516.4425,4227.6675000000005,646.1449999999999,731.0487499999999,3049.39375,823.00625,1567.0662499999999,1488.5100000000002,2632.34,3307.1487500000003,1643.3812500000001,1310.7649999999999,2026.93375,2265.2155645161292
CANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHER,3472.066056185937,2468.3291770763094,3563.755653797523,2470.847622470913,2943.501249622838,2721.582015976456,4038.0100056880838,3945.3836563470186,3189.9621098433313,3785.6019349954468,3498.216865753578,2777.9996333993918,4813.891013497803,2292.9937822570596,2365.2695703238483,2429.120936516497,2737.25621957637,2973.2817078217445,3793.4998305024524,3266.9301148124077,1902.189630429746,2407.2362592608724,2868.8180307569255,2243.6292921336194,3434.1360693969373,2973.7257662036645,2776.6685155354935,3797.3398782241984,3983.9141792334713,3250.037922507799,3649.5191865742017,3123.7004479587713
COLG,2117.6809053086613,2707.659214232049,2972.8327284317975,2779.2978096238744,2050.7828232061174,2674.4367751544523,2942.08348803831,3593.5900597223554,2176.9224304378317,3586.3258478805446,2411.09679463884,3577.1879614335485,3466.269532490688,2562.6171177905762,2422.697520822579,2324.699288984457,2950.8730548800586,1939.035678473817,3170.566905529023,3334.8403877591877,1184.730797715003,1277.1468517901942,2930.392121065101,2466.9211620049923,3120.155088162651,2413.6994801650503,2124.936053071524,3749.471499716019,1742.1094992712951,1752.8543174287531,2682.3186392330795,2619.5558656278195
CORN,2930.185149783382,2958.07488875992,2704.979904965121,2749.1480623311318,3313.5313392139788,3285.245416929335,3542.054663521717,3591.5504815580057,2862.118719725572,3196.3528758748807,2517.3873186892392,2693.882826146702,2906.698208201961,2596.0297566696545,2666.1096076889194,2350.5417195065347,2842.9272416793506,3068.0028976750973,2988.282128243877,2694.32793905193,2292.2586786462803,2083.0369234966,2304.3822382127096,2605.5944816928363,2581.3642121243347,3098.855641247767,2907.8521289974988,3369.5707710578445,2675.695586635975,2697.339452715901,2574.338674150688,2827.3458043611204
