,AVG
ALFA,1329.1842329547515
APPL,1957.7218303246218
BERM,
BLUE,785.8705792633988
BROC,959.9942453578893
CABG,2242.3352822580646
CANA,
CHER,3119.881682297726
COLG,1982.2327813880202
CORN,2831.9375054931083
CRRT,3539.168396965761
CUCM,837.8958405596779
DRYB,1064.3741361670245
FESC,11970.35911007649
FRSD,
FRSE,
FRST,
GRAP,1827.979044635476
HAY,453.6337134341815
HMEL,1212.969743951613
KALE,2428.367123088902
LETT,1090.006541168619
ONIO,873.1072753444791
PEAR,2132.3362883357568
POTA,4645.317266832199
PUMP,1051.4478366935482
RASP,2009.6132531557782
SCRN,1195.864872660921
SGBT,
SNPB,1054.4699972662372
SOYB,931.6002621595777
SPIN,3543.6983722042214
SPOT,1122.5715831313646
SQUA,921.3727459677418
STRW,741.9988338641484
SWRN,13361.373838816848
TOMA,478.4965599330819
WATR,
WETF,
WETN,
WWHT,1110.3601433691754
