,AVG
ALFA,1332.8183769137113
APPL,2252.3181107425758
BERM,
BLUE,860.6582021709011
BROC,990.1679728993505
CABG,2512.1839919354834
CANA,
CHER,3369.688089281484
COLG,2317.265950618885
CORN,2832.4332758061078
CRRT,3619.261323846204
CUCM,843.9743398019127
DRYB,1005.6433788893326
FESC,11958.88823772119
FRSD,
FRSE,
FRST,
GRAP,1867.7600897058635
HAY,453.44517429760657
HMEL,1238.1769798387097
KALE,2421.3483096978457
LETT,1229.185009016252
ONIO,866.8306274193822
PEAR,2188.1025248640603
POTA,4896.668343115044
PUMP,1045.7432217741934
RASP,2254.1985121059747
SCRN,967.8812131530553
SGBT,
SNPB,985.3665524966058
SOYB,931.5345278966007
SPIN,2952.8895722685584
SPOT,1070.226584764834
SQUA,888.022294354839
STRW,632.3008011750617
SWRN,13315.378640017147
TOMA,458.14642348027786
WATR,
WETF,
WETN,
WWHT,1110.3601433691754
