,AVG
ALFA,1328.0426574969283
APPL,2050.690005478561
BERM,
BLUE,690.8509686840766
BROC,863.9587084532587
CABG,2100.7601209677414
CANA,
CHER,3116.234503251076
COLG,2530.0605334710167
CORN,2832.759387430487
CRRT,3441.904720343152
CUCM,876.933724506122
DRYB,1010.989384869145
FESC,11952.485063678829
FRSD,
FRSE,
FRST,
GRAP,1940.522059951428
HAY,453.20204639192536
HMEL,1257.7146955645164
KALE,2458.501217442516
LETT,1105.4640120593317
ONIO,825.9413931512767
PEAR,2273.8350618320924
POTA,5194.611596080438
PUMP,1054.1734072580646
RASP,1887.0122788961073
SCRN,913.7891422073936
SGBT,
SNPB,1020.297114147973
SOYB,932.4469875835977
SPIN,2836.5025589392494
SPOT,1158.7172437589525
SQUA,925.0503830645159
STRW,514.5530403288845
SWRN,13406.742946380406
TOMA,489.62194875436165
WATR,
WETF,
WETN,
WWHT,1123.4880138248845
