,AVG
ALFA,1334.4472318379467
APPL,2124.764509557524
BERM,
BLUE,807.8887418939725
BROC,959.9942453578893
CABG,2236.8475403225802
CANA,
CHER,3119.881682297726
COLG,1982.2327813880202
CORN,2832.0520859856483
CRRT,3377.6546961831828
CUCM,837.8958405596779
DRYB,1046.1314944820815
FESC,11968.411785389644
FRSD,
FRSE,
FRST,
GRAP,1827.979044635476
HAY,453.6337134341815
HMEL,1212.9266552419358
KALE,2428.367123088902
LETT,1050.7998074855027
ONIO,873.1072753444791
PEAR,2127.751326099442
POTA,4645.317266832199
PUMP,1051.4478366935482
RASP,2009.6132531557782
SCRN,1231.9732772553048
SGBT,
SNPB,1054.4699972662372
SOYB,931.7231412619903
SPIN,3602.9294600673707
SPOT,1101.7693187273183
SQUA,921.3727459677418
STRW,730.0971876577039
SWRN,13363.02602006689
TOMA,445.16115957815674
WATR,
WETF,
WETN,
WWHT,1110.3601433691754
