,RCH,GIS,MON,AREAkm2,FLOW_INcms,FLOW_OUTcms,EVAPcms,TLOSScms,SED_INtons,SED_OUTtons,SEDCONCmg/L,ORGN_INkg,ORGN_OUTkg,ORGP_INkg,ORGP_OUTkg,NO3_INkg,NO3_OUTkg,NH4_INkg,NH4_OUTkg,NO2_INkg,NO2_OUTkg,MINP_INkg,MINP_OUTkg,CHLA_INkg,CHLA_OUTkg,CBOD_INkg,CBOD_OUTkg,DISOX_INkg,DISOX_OUTkg,SOLPST_INmg,SOLPST_OUTmg,SORPST_INmg,SORPST_OUTmg,REACTPSTmg,VOLPSTmg,SETTLPSTmg,RESUSP_PSTmg,DIFFUSEPSTmg,REACBEDPSTmg,BURYPSTmg,BED_PSTmg,BACTP_OUTct,BACTLP_OUTct,CMETAL#1kg,CMETAL#2kg,CMETAL#3kg,TOT Nkg,TOT Pkg,NO3ConcMg/l,WTMPdegc,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10,SAR,EC
359,360,0,2020.0,30610.0,200.8,202.3,0.0,200.8,1420000.0,1214000.0,181.9,13420000.0,13190000.0,3385000.0,3346000.0,62250000.0,64420000.0,0.0,0.0,0.0,0.0,2094000.0,2090000.0,588800.0,595200.0,77510000.0,80520000.0,24880000.0,26100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77610000.0,5436000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,360,0,2021.0,30610.0,135.0,135.3,0.0,135.0,831700.0,690000.0,154.1,9549000.0,9433000.0,2690000.0,2680000.0,52260000.0,53760000.0,0.0,0.0,0.0,0.0,1626000.0,1619000.0,392700.0,388700.0,56850000.0,61520000.0,16120000.0,17220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63190000.0,4298000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083,360,0,2022.0,30610.0,249.6,244.1,0.0,249.6,2069000.0,1638000.0,195.6,21420000.0,19140000.0,6994000.0,6217000.0,95250000.0,93100000.0,0.0,0.0,0.0,0.0,1783000.0,1736000.0,791900.0,715500.0,241600000.0,204200000.0,39770000.0,40320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112200000.0,7953000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445,360,0,2023.0,30610.0,317.3,321.5,0.0,317.3,2656000.0,2309000.0,219.4,26070000.0,24710000.0,7775000.0,7327000.0,58360000.0,59970000.0,0.0,0.0,0.0,0.0,4225000.0,4400000.0,982100.0,939600.0,119300000.0,112500000.0,31800000.0,32950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84680000.0,11730000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1807,360,0,2024.0,30610.0,116.3,120.1,0.0,116.3,710400.0,596600.0,141.9,12330000.0,12700000.0,3758000.0,3874000.0,20250000.0,21100000.0,0.0,0.0,0.0,0.0,2869000.0,2942000.0,534900.0,545000.0,57420000.0,59290000.0,7630000.0,8396000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33800000.0,6815000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,360,0,2025.0,30610.0,57.81,56.96,0.0,57.81,273200.0,209800.0,106.8,5346000.0,5274000.0,1740000.0,1728000.0,23700000.0,23280000.0,0.0,0.0,0.0,0.0,1080000.0,1080000.0,206500.0,202100.0,42650000.0,42400000.0,8270000.0,8560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28550000.0,2808000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2531,360,0,2026.0,30610.0,99.55,98.43,0.0,99.55,577500.0,450700.0,134.3,8009000.0,7344000.0,2698000.0,2456000.0,42660000.0,42660000.0,0.0,0.0,0.0,0.0,1623000.0,1602000.0,324900.0,298500.0,50160000.0,46360000.0,14120000.0,14630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,4058000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2893,360,0,2027.0,30610.0,175.6,170.9,0.0,175.6,1233000.0,993100.0,169.9,9924000.0,9216000.0,3668000.0,3418000.0,68150000.0,63640000.0,0.0,0.0,0.0,0.0,1700000.0,1658000.0,415100.0,383200.0,113800000.0,107200000.0,30250000.0,30730000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72860000.0,5076000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3255,360,0,2028.0,30610.0,273.4,274.6,0.0,273.4,2135000.0,1846000.0,208.0,18130000.0,17480000.0,6070000.0,5857000.0,78800000.0,78770000.0,0.0,0.0,0.0,0.0,2672000.0,2677000.0,725600.0,698000.0,159500000.0,157100000.0,39050000.0,40490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96250000.0,8535000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3617,360,0,2029.0,30610.0,188.3,191.0,0.0,188.3,1320000.0,1114000.0,177.4,13130000.0,12660000.0,4516000.0,4339000.0,45610000.0,46740000.0,0.0,0.0,0.0,0.0,2358000.0,2375000.0,567100.0,549800.0,105000000.0,100300000.0,23100000.0,24080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59390000.0,6714000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
