,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
ALFA,1377.6942152230968,2094.594458192726,1572.9450866141735,2095.289178852643,1928.2713858267716,2379.617435320585,1574.0115958005251,2175.9676790401204,1692.787286089239,1989.1328646419197,1875.5405144356955,2103.513562054743,1415.0052913385828,2106.0494750656167,1273.4304566929134,1938.7557930258722,1602.5229238845143,2157.325080614923,1687.4160787401577,1820.8852530933636,1843.0377807274097
APPL,6276.703333333334,6164.5216666666665,6200.841666666666,4979.933333333333,6963.826666666667,6434.63,5588.706666666666,4235.843333333333,5743.556666666666,5927.526666666668,6097.575,4970.79,4194.563333333333,6182.426666666666,5636.893333333333,6369.363333333332,5981.245,5903.598333333332,5731.7266666666665,4482.461666666667,5703.336666666665
BERM,785.3783832335329,1284.2304011976048,650.6707784431139,551.094883233533,985.5545179640719,522.3468008982037,1174.8567080838325,574.8861122754491,248.40355538922157,366.2128203592814,363.4995973053892,214.93623952095808,716.8137245508982,1765.3641811377247,1120.7935703592814,277.63278293413174,297.96381886227545,355.17483532934136,488.5893517964072,296.39615718562874,652.0399610029939
BLUE,2261.3283333333334,3112.9233333333336,2150.4466666666663,1972.801666666667,2938.2449999999994,3033.406666666667,2181.3650000000002,2234.4,2703.496666666667,2544.3716666666664,3339.2916666666665,1944.9666666666665,1459.926666666667,2055.875,2712.2433333333333,3361.1716666666666,2804.193333333333,2355.0849999999996,2164.3966666666665,1941.46,2463.56975
BROC,1829.2300000000002,3361.485,1829.785,2501.1316666666667,3220.365,1442.4350000000002,2705.9449999999997,2650.1316666666667,3054.5750000000003,2104.138333333333,2639.161666666667,1936.7383333333335,1375.95,1770.7783333333334,1837.1866666666665,2974.7966666666666,2242.9883333333332,2827.733333333333,2233.6133333333332,2263.86,2340.101416666667
CABG,4054.126666666667,5646.245,3680.78,5845.901666666666,6057.781666666666,3925.0200000000004,5006.19,5470.829999999999,5203.801666666666,3553.726666666667,5132.93,3904.5200000000004,4282.318333333334,5599.965,2789.955,5898.805,5145.075000000001,4867.085,5127.918333333334,4784.28,4798.86275
CHER,7434.508333333334,8548.02,7298.61,6857.650000000001,9152.483333333334,8403.571666666667,7545.57,6213.608333333334,7652.763333333333,7632.655,8854.14,6890.5,6286.186666666667,7053.256666666668,7808.294999999999,8842.746666666666,8149.281666666667,8044.008333333332,7504.860000000001,7280.833333333333,7672.677416666668
COLG,2332.0133333333333,4010.4516666666664,2043.6883333333333,4155.743333333333,2607.291666666667,1857.2849999999999,3197.5633333333335,4060.291666666666,4128.945000000001,2349.6783333333333,2492.4266666666667,2147.345,2510.2216666666664,4752.693333333334,2657.971666666667,2720.6483333333335,2803.7833333333333,3630.028333333333,2890.03,4357.8550000000005,3085.29775
CORN,5414.463025797989,7244.384006116209,5632.358220376039,7016.346968108343,6820.927070397902,6877.986771515945,6577.209226060341,6568.38007426824,6185.178648885002,5180.028073394496,6647.302864013993,5474.787806902577,5063.734687363359,5741.229453910004,6583.870572802798,7454.283678462212,6659.191101880193,5259.238492791612,5316.849068648885,5938.2523547400615,6182.800108321811
CRRT,7898.573333333334,10471.386666666667,8094.024999999999,10658.561666666666,8806.733333333335,8826.811666666666,10546.910000000002,10112.771666666667,10662.11,6888.161666666667,7241.823333333334,5106.259999999999,7648.544999999998,9855.308333333334,9789.388333333332,8168.113333333334,7866.591666666667,10237.359999999999,10406.9,10125.04,8970.56875
CUCM,135.36499999999998,207.92833333333337,51.08166666666667,424.8983333333333,161.7433333333333,7.5683333333333325,569.5583333333333,265.835,258.08666666666664,33.43333333333333,9.435,216.365,421.38166666666666,576.6833333333334,260.9516666666667,33.800000000000004,165.96666666666667,387.73499999999996,233.89166666666665,411.9733333333333,241.68408333333332
DRYB,2031.1466666666668,2106.2566666666667,1827.6116666666667,2722.655,2049.1283333333336,1416.1216666666667,2671.7083333333335,2331.7949999999996,2496.5016666666666,1411.1449999999998,1576.1366666666665,1541.1866666666665,1988.285,2459.9183333333335,2187.8683333333333,1645.32,1705.863333333333,2781.2450000000003,2379.2066666666665,2713.0983333333334,2102.109916666667
FESC,9520.91464604811,10468.800769759451,10543.87649484536,10878.253986254296,11500.207024054982,11820.238350515461,11998.855642611685,12456.512075601375,12793.167979381446,12635.985670103091,13017.062439862544,12656.218783505154,12315.652247422677,12615.222178694157,13202.097917525774,13677.479408934707,13700.157408934709,13766.431917525771,13902.210962199311,13777.98359450172,12362.366474914086
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,5066.058333333333,6274.343333333333,4726.003333333334,5224.546666666666,6255.388333333333,6230.325,5536.006666666667,5811.863333333334,6219.038333333333,4100.485,6207.493333333333,4068.9266666666663,3647.3833333333337,5687.791666666667,5648.286666666667,6670.675,5251.25,5691.168333333334,5735.266666666667,4878.6883333333335,5446.549416666667
HAY,628.5840527950311,616.8571894409937,501.0593607660456,583.826369047619,525.8817339544513,537.368483436853,511.83287525879916,538.4597204968944,494.5655771221532,455.97405020703934,479.53055383022775,458.35393892339545,437.309218426501,360.8922774327122,336.5456030020704,459.0729632505176,528.3805150103519,443.81812111801247,448.7865838509317,424.737150621118,488.59181689958587
HMEL,10.706666666666665,15.193333333333333,15.058333333333332,29.590000000000003,8.685,1.8350000000000002,24.495,19.49666666666667,30.51833333333333,3.8816666666666673,2.2399999999999998,16.353333333333335,31.330000000000002,53.324999999999996,13.251666666666665,5.1883333333333335,7.233333333333334,23.395,12.290000000000001,47.51,18.578833333333332
KALE,4651.866666666666,5681.996666666666,3716.3033333333333,5298.266666666666,6017.381666666667,4423.11,5568.71,3984.6133333333332,4897.7,3450.4883333333332,3419.191666666667,2626.6916666666666,2827.4166666666665,5144.261666666666,3281.795,5734.835,3713.7083333333335,4287.823333333334,4950.088333333333,4819.168333333333,4424.770833333333
LETT,3439.9708333333333,5895.891666666667,2914.2183333333337,3938.894166666667,4393.757500000001,5116.699166666667,3750.76,4324.3966666666665,3849.3958333333335,2158.8641666666667,3657.4708333333333,1435.9366666666667,1406.3908333333331,2406.5091666666667,2321.6183333333333,5195.721666666667,4695.438333333333,4225.4275,4077.0200000000004,4080.009166666667,3664.219541666667
ONIO,1257.49,3389.3833333333337,1820.1333333333334,2469.226666666667,1520.3,1322.0933333333332,2801.6666666666665,2111.406666666667,2293.1749999999997,603.3566666666667,1019.2783333333333,950.4483333333333,949.3833333333333,2584.846666666667,1579.261666666667,1193.6066666666666,1511.1383333333333,2550.4066666666668,2636.826666666667,1847.5016666666668,1820.5464999999997
