,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
ALFA,1386.6289837611316,2104.7832073353293,1582.4487951807232,2105.047181886227,1932.0831011000525,2386.0937724550895,1577.6542587742276,2182.548783682635,1697.5137244630698,1996.5750261976048,1882.5137297014144,2112.6155351796406,1421.1291461498167,2114.0675336826353,1275.5783603981142,1943.7362088323355,1605.6238082765847,2163.859734281437,1693.913074908329,1827.8327844311375,1849.6123375338768
APPL,6205.611666666667,5629.34,5877.211666666667,4701.7733333333335,6717.396666666667,6181.646666666667,5126.545,4288.931666666666,5505.57,6035.304999999999,6596.329999999999,5246.961666666667,4951.721666666666,5295.570000000001,5549.155,6240.186666666667,6155.576666666667,5739.071666666667,5620.62,4474.035,5606.928
BERM,785.3783832335329,1284.2304011976048,650.6707784431139,551.094883233533,985.5545179640719,522.3468008982037,1174.8567080838325,574.8861122754491,248.40355538922157,366.2128203592814,363.4995973053892,214.93623952095808,716.8137245508982,1765.3641811377247,1120.7935703592814,277.63278293413174,297.96381886227545,355.17483532934136,488.5893517964072,296.39615718562874,652.0399610029939
BLUE,2257.348333333333,3178.5983333333334,2195.4566666666665,2094.271666666667,3088.038333333334,3010.3216666666667,2285.4150000000004,2717.845,2832.258333333333,2232.22,3317.805,1940.8033333333333,1439.1133333333335,2232.273333333333,3025.7933333333335,3542.8266666666673,2804.721666666667,2461.405,2233.101666666667,1990.9099999999999,2544.0263333333337
BROC,1192.2166666666665,3296.043333333333,1203.3783333333333,2547.8300000000004,2984.8733333333334,2026.6516666666666,2755.7033333333334,2529.3283333333334,2741.6883333333335,2050.58,3023.2666666666664,1828.5866666666668,1405.5616666666665,1660.75,1936.3966666666665,3383.9199999999996,2541.5733333333333,2864.7116666666666,2266.525,2500.393333333333,2336.998916666667
CABG,4625.259999999999,5669.920000000001,3429.8633333333332,5693.086666666667,5796.076666666667,4314.49,4934.69,5447.8983333333335,5374.706666666666,3881.6666666666665,5079.47,3895.9150000000004,3839.661666666667,5627.413333333334,3326.688333333333,5697.2716666666665,4964.158333333333,4769.695,4839.080000000001,4677.321666666667,4794.216666666667
CHER,8299.066666666668,8705.06,7695.178333333332,6936.321666666667,9252.805,8764.393333333333,8046.509999999999,6172.631666666667,8365.601666666667,7966.756666666667,9045.683333333334,7216.926666666666,6741.908333333334,7085.738333333334,8415.050000000001,9240.871666666666,8609.320000000002,8487.176666666668,8118.176666666666,7771.738333333332,8046.845750000002
COLG,1572.9033333333334,3947.713333333333,1320.64,4464.1050000000005,2700.4583333333335,2033.7183333333335,3871.5499999999997,4374.2300000000005,3257.215,1987.4983333333332,2157.8883333333333,1709.305,2478.6150000000002,4988.160000000001,2007.6083333333333,2556.7516666666666,2872.6866666666665,2951.226666666667,2877.16,4563.1866666666665,2934.6310000000003
CORN,5418.6812811543505,7250.6756843025805,5637.406016615654,7023.904118933099,6825.254844774814,6885.160852645387,6578.549221687801,6574.27332750328,6188.420201136861,5186.532820288587,6648.683288150415,5476.295758635768,5064.906519457805,5747.505745518146,6587.898508963708,7461.763672933975,6663.7212592916485,5263.616353301269,5317.279344118932,5942.279256668125,6187.14040380411
CRRT,9625.866666666667,10434.283333333333,8314.238333333335,10365.506666666666,8741.895,9105.155,10301.208333333332,10107.744999999999,10303.808333333332,6656.428333333333,6985.760000000001,5384.04,7760.188333333334,8706.321666666667,9439.81,8278.801666666668,8303.648333333333,10006.903333333334,10349.088333333335,10354.116666666667,8976.240666666668
CUCM,41.80166666666667,149.31666666666666,52.89333333333334,351.335,80.185,5.696666666666666,482.31,255.06666666666663,221.35333333333335,25.629999999999995,7.456666666666667,114.14999999999999,281.90833333333336,572.2266666666667,141.66333333333333,24.12166666666667,60.678333333333335,306.10499999999996,181.12166666666667,357.75,185.63850000000002
DRYB,1940.7799999999997,2008.1849999999997,1719.655,2424.251666666667,1890.7616666666665,1439.4316666666666,2443.4883333333332,2279.9,2389.705,1622.9016666666666,1720.39,1626.6933333333334,2028.8100000000002,2110.703333333333,2013.0016666666668,1816.405,1985.9866666666667,2826.596666666667,2270.3483333333334,2674.0466666666666,2061.602083333333
FESC,9524.437558139534,10473.74475376197,10547.662195622435,10881.062934336527,11501.94948016416,11821.821142270861,12000.12668262654,12461.358994528046,12797.730683994529,12636.741039671682,13018.093775649795,12654.672503419972,12312.650041039671,12613.247647058823,13198.943269493846,13672.735779753762,13693.94696990424,13761.358139534885,13897.009774281805,13771.845471956225,12362.056941860468
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,4796.666666666667,6340.705000000001,4655.678333333334,5328.918333333334,6348.556666666666,6446.384999999999,5575.82,5845.176666666666,6059.846666666667,4161.8150000000005,6632.66,3813.3250000000003,3681.015,5777.36,5604.171666666666,6296.798333333332,5061.111666666667,5747.333333333335,5751.695,5134.776666666666,5452.990749999999
