,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
ALFA,1379.5086868160502,2093.628671380722,1570.7361959353834,2091.8724078898404,1925.6388796248048,2376.486721250465,1571.2192965085985,2172.4291514700412,1689.5237727983326,1986.5705545217716,1873.490401250651,2102.0433755117233,1415.0485565398644,2103.8213993301083,1271.4531057842628,1933.8889691105323,1599.0858311620636,2152.9986118347597,1685.3018342886921,1818.4754782285077,1840.661095061859
APPL,6024.078333333334,6159.663333333333,6161.593333333333,4997.740000000001,6994.965000000001,6170.320000000001,5550.373333333333,4011.471666666667,5805.093333333333,5923.415,6242.0233333333335,5093.816666666666,4895.068333333334,5801.866666666666,5788.983333333334,6247.991666666666,6059.676666666666,5921.886666666665,5752.871666666666,4471.248333333333,5703.707333333334
BERM,785.3783832335329,1284.2304011976048,650.6707784431139,551.094883233533,985.5545179640719,522.3468008982037,1174.8567080838325,574.8861122754491,248.40355538922157,366.2128203592814,363.4995973053892,214.93623952095808,716.8137245508982,1765.3641811377247,1120.7935703592814,277.63278293413174,297.96381886227545,355.17483532934136,488.5893517964072,296.39615718562874,652.0399610029939
BLUE,2406.685,3220.9133333333334,2688.036666666667,2074.5016666666666,3148.3783333333336,3377.7383333333332,2309.4116666666664,2646.2133333333336,2884.786666666667,2457.055,3368.2116666666666,1557.4416666666666,1168.7033333333331,2308.866666666667,2972.98,3518.021666666666,2820.2100000000005,2510.66,2262.4049999999997,1986.165,2584.36925
BROC,1100.4516666666666,3372.748333333333,1100.1966666666665,2512.025,3224.808333333333,1202.085,2780.6,2448.9249999999997,2942.6966666666667,1921.823333333333,2054.795,1713.1516666666664,1147.6999999999998,1698.4683333333332,1643.8083333333334,3313.02,2409.4216666666666,2675.4716666666664,1881.36,2307.1583333333333,2172.53575
CABG,5202.848333333333,5527.463333333333,4526.643333333333,5691.009999999999,6044.218333333333,4509.813333333333,5099.056666666666,5601.686666666666,5771.035,3872.601666666667,5530.668333333332,3840.661666666667,4211.6483333333335,5799.735,4126.503333333333,6044.196666666667,5070.7,4709.8,4860.94,4783.861666666667,5041.254583333333
CHER,7940.216666666667,9116.756666666666,8011.0,7299.973333333334,9660.603333333333,8534.491666666667,8024.131666666665,5947.268333333333,8228.0,7612.27,8766.576666666666,6823.548333333333,6413.901666666668,7563.373333333334,8568.663333333332,9224.230000000001,8362.781666666668,8392.383333333333,8160.158333333333,7726.456666666668,8018.83925
COLG,3296.225,3932.32,2012.1366666666665,4184.4766666666665,3468.3683333333333,3253.905,3859.603333333333,4138.141666666667,4920.106666666666,2633.5633333333335,3237.1349999999998,2328.6,2310.7383333333332,5183.426666666666,4005.1516666666666,3624.658333333333,3234.22,4109.408333333334,3351.9883333333332,4778.07,3593.112166666666
CORN,5419.332151621385,7248.051584245076,5635.925631025416,7020.112857768052,6823.529421560035,6881.411142231947,6581.864224364593,6572.223496717724,6187.094995617878,5181.409912472648,6653.527160385627,5480.190608315098,5068.213737949168,5743.506704595186,6584.280495179667,7457.177632385121,6662.671038562664,5262.736822757111,5321.1126424189315,5940.375396061269,6186.23738281173
CRRT,9128.431666666667,10247.29,9457.155,10691.831666666667,8905.516666666668,8963.468333333332,10468.243333333334,10303.625,10291.863333333333,7636.1449999999995,8208.619999999999,4392.788333333334,7967.849999999999,9957.713333333331,10111.435,8164.599999999999,7710.336666666667,10083.435,10303.355000000001,9878.695000000002,9143.619916666668
CUCM,103.70833333333333,119.27666666666669,53.160000000000004,383.22166666666664,96.39666666666666,5.886666666666667,529.7983333333333,225.0566666666667,227.03833333333333,32.013333333333335,8.254999999999999,180.66333333333333,322.6649999999999,586.7383333333333,211.52166666666668,31.849999999999994,74.63333333333333,351.66,201.25333333333336,385.23,206.50133333333332
