,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
ALFA,1384.9896135770234,2106.601100746269,1579.828819843342,2105.8558320895518,1938.1085639686682,2392.9068805970146,1581.1512584856398,2187.0097723880594,1700.3783550913838,1999.942776119403,1883.5104177545693,2113.1908246268654,1420.5473420365533,2116.775843283582,1278.9108929503916,1948.3864440298507,1610.9278381201045,2169.2053097014928,1695.3788877284596,1831.0921977611943,1852.2349485449708
APPL,6185.431666666666,5942.45,6249.466666666666,5024.943333333334,6997.266666666666,6460.36,5598.44,4171.251666666667,5754.29,5851.170000000001,6198.956666666666,5100.583333333334,4467.573333333333,5889.251666666667,5661.901666666666,6437.98,6005.128333333334,5929.1016666666665,5764.514999999999,4466.46,5707.826083333334
BERM,785.3783832335329,1284.2304011976048,650.6707784431139,551.094883233533,985.5545179640719,522.3468008982037,1174.8567080838325,574.8861122754491,248.40355538922157,366.2128203592814,363.4995973053892,214.93623952095808,716.8137245508982,1765.3641811377247,1120.7935703592814,277.63278293413174,297.96381886227545,355.17483532934136,488.5893517964072,296.39615718562874,652.0399610029939
BLUE,2244.851666666667,3108.461666666666,2119.0266666666666,1966.403333333333,2899.5383333333334,3038.806666666667,2153.3816666666667,2219.5633333333335,2680.2116666666666,2338.8250000000003,3258.4883333333332,1953.1116666666667,1471.8433333333335,2039.795,2617.423333333333,3305.346666666667,2781.851666666666,2332.5716666666667,2124.815,1910.37,2428.2343333333333
BROC,1829.2300000000002,3361.485,1829.785,2501.1316666666667,3220.365,1442.4350000000002,2705.9449999999997,2650.1316666666667,3054.5750000000003,2104.138333333333,2639.161666666667,1936.7383333333335,1375.95,1770.7783333333334,1837.1866666666665,2974.7966666666666,2242.9883333333332,2827.733333333333,2233.6133333333332,2263.86,2340.101416666667
CABG,3801.7016666666664,5692.616666666666,2898.285,5843.565000000001,6044.36,3922.6399999999994,4993.938333333333,5239.786666666667,5199.731666666667,3066.9666666666667,5108.953333333334,3904.156666666667,4051.121666666666,5450.5633333333335,1997.1349999999995,5834.058333333333,5154.511666666666,4871.543333333334,5091.085,4751.9800000000005,4645.935
CHER,7434.508333333334,8548.02,7298.61,6857.650000000001,9152.483333333334,8403.571666666667,7545.57,6213.608333333334,7652.763333333333,7632.655,8854.14,6890.5,6286.186666666667,7053.256666666668,7808.294999999999,8842.746666666666,8149.281666666667,8044.008333333332,7504.860000000001,7280.833333333333,7672.677416666668
COLG,2332.0133333333333,4010.4516666666664,2043.6883333333333,4155.743333333333,2607.291666666667,1857.2849999999999,3197.5633333333335,4060.291666666666,4128.945000000001,2349.6783333333333,2492.4266666666667,2147.345,2510.2216666666664,4752.693333333334,2657.971666666667,2720.6483333333335,2803.7833333333333,3630.028333333333,2890.03,4357.8550000000005,3085.29775
CORN,5414.182169728783,7246.3493968531475,5632.7779002624675,7018.240751748251,6821.664593175854,6879.7585970279715,6577.234265091864,6570.199624125874,6185.49250656168,5181.160524475524,6647.178538932633,5476.263601398601,5063.98604111986,5742.640812937063,6584.527222222222,7456.484650349652,6660.000555555556,5260.57347902098,5316.648871391077,5939.755017482517,6183.75595597308
CRRT,8424.386666666667,10364.311666666666,8290.925000000001,10692.199999999999,9212.201666666668,9239.748333333333,10481.571666666665,10160.686666666666,10623.220000000001,7274.253333333334,6804.55,4660.041666666667,7428.804999999999,10080.591666666665,9922.273333333333,8325.286666666665,7847.036666666667,10166.135,10449.478333333334,9976.87,9021.228666666666
CUCM,135.36499999999998,207.92833333333337,51.08166666666667,424.8983333333333,161.7433333333333,7.5683333333333325,569.5583333333333,265.835,258.08666666666664,33.43333333333333,9.435,216.365,421.38166666666666,576.6833333333334,260.9516666666667,33.800000000000004,165.96666666666667,387.73499999999996,233.89166666666665,411.9733333333333,241.68408333333332
DRYB,2060.1800000000003,2065.0016666666666,1843.1066666666666,2666.0,2024.6333333333332,1453.2466666666667,2571.5399999999995,2254.83,2513.6349999999998,1676.3683333333336,1675.2866666666666,1695.216666666667,2072.7766666666666,2295.1283333333336,2027.035,1772.8066666666666,1947.6616666666666,2887.28,2432.0099999999998,2828.235,2138.098916666667
FESC,9520.29430927835,10468.048941580757,10543.1858556701,10877.557058419243,11499.475470790378,11819.544742268043,11998.227573883163,12456.006206185568,12792.657470790378,12635.346694158074,13016.47310652921,12655.48145017182,12314.986487972506,12614.584762886596,13201.467292096222,13676.761745704465,13699.441924398625,13765.777058419242,13901.558536082475,13777.243505154642,12361.706009621994
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,5066.058333333333,6274.343333333333,4726.003333333334,5224.546666666666,6255.388333333333,6230.325,5536.006666666667,5811.863333333334,6219.038333333333,4100.485,6207.493333333333,4068.9266666666663,3647.3833333333337,5687.791666666667,5648.286666666667,6670.675,5251.25,5691.168333333334,5735.266666666667,4878.6883333333335,5446.549416666667
HAY,628.5840527950311,616.8571894409937,501.0593607660456,583.826369047619,525.8817339544513,537.368483436853,511.83287525879916,538.4597204968944,494.5655771221532,455.97405020703934,479.53055383022775,458.35393892339545,437.309218426501,360.8922774327122,336.5456030020704,459.0729632505176,528.3805150103519,443.81812111801247,448.7865838509317,424.737150621118,488.59181689958587
HMEL,11.268333333333333,15.729999999999999,15.538333333333332,30.706666666666667,9.271666666666667,1.9500000000000002,25.86,20.64,32.03,3.851666666666667,2.3833333333333333,16.866666666666667,33.19833333333333,56.46166666666667,14.24,5.456666666666667,7.555000000000001,24.886666666666667,13.145000000000001,51.32666666666666,19.618333333333332
KALE,4651.866666666666,5681.996666666666,3716.3033333333333,5298.266666666666,6017.381666666667,4423.11,5568.71,3984.6133333333332,4897.7,3450.4883333333332,3419.191666666667,2626.6916666666666,2827.4166666666665,5144.261666666666,3281.795,5734.835,3713.7083333333335,4287.823333333334,4950.088333333333,4819.168333333333,4424.770833333333
LETT,3417.9616666666666,5876.268333333333,2895.353333333333,3904.6225,4333.564166666667,5108.913333333334,3692.8541666666674,4301.474999999999,3807.8591666666666,1733.4825,3280.5016666666666,1230.1525000000001,1225.4383333333333,2354.596666666667,2188.348333333333,5142.314166666667,4643.415,4184.856666666667,3971.061666666667,4062.9075000000007,3567.797333333333
ONIO,1257.49,3389.3833333333337,1820.1333333333334,2469.226666666667,1520.3,1322.0933333333332,2801.6666666666665,2111.406666666667,2293.1749999999997,603.3566666666667,1019.2783333333333,950.4483333333333,949.3833333333333,2584.846666666667,1579.261666666667,1193.6066666666666,1511.1383333333333,2550.4066666666668,2636.826666666667,1847.5016666666668,1820.5464999999997
PEAR,6737.078333333334,7113.126666666667,6579.75,5420.871666666667,7766.575,7183.011666666666,6029.525000000001,4616.881666666667,6360.186666666667,6382.84,7418.541666666667,5360.67,4532.943333333334,6477.93,6830.356666666667,7312.621666666666,6795.761666666666,6761.446666666667,6288.506666666665,5220.378333333333,6359.450166666667
POTA,9809.166666666666,11083.745,10131.253333333332,7605.741666666666,10872.315,11574.36,9304.221666666666,8737.328333333333,11128.455,11210.401666666667,10488.903333333334,8092.713333333332,7166.691666666667,9776.576666666668,9503.798333333332,10652.346666666666,11079.24,8480.609999999999,8891.673333333334,6943.02,9626.628083333333
PUMP,152.935,160.59166666666667,193.395,549.4133333333333,141.57500000000002,1.555,479.795,239.745,318.9216666666667,15.480000000000002,3.758333333333333,243.9333333333333,533.6366666666667,982.9733333333332,203.09666666666666,14.568333333333333,54.49666666666667,321.4916666666667,124.65166666666669,384.6416666666667,256.03275
RASP,4326.02,8078.066666666667,4404.071666666667,7028.193333333334,7608.656666666667,6969.495,7143.334999999999,7964.951666666667,6685.188333333334,4461.7,7713.328333333334,4987.631666666667,4996.056666666666,7793.506666666667,4586.446666666667,7032.971666666667,6638.845,7085.78,6754.518333333333,5934.22,6409.649166666667
SCRN,323.88,1142.0133333333333,559.7516666666667,1578.72,404.39166666666665,169.32833333333335,1004.8916666666668,1480.9066666666668,1640.2883333333336,209.005,129.28,337.06666666666666,612.2433333333333,2246.383333333333,767.0766666666667,439.83666666666676,535.0916666666666,1308.4883333333332,783.665,1855.2300000000002,876.3769166666665
SNPB,1946.4983333333332,1817.5983333333331,1603.46,2372.3266666666664,1634.3400000000001,1410.4216666666669,2112.181666666667,2169.433333333333,2373.2483333333334,1527.8883333333333,1660.5083333333332,2120.0666666666666,1899.2233333333334,1548.3333333333333,1628.5883333333331,1730.4166666666667,1962.0566666666666,2687.515,2042.6416666666664,2461.4733333333334,1935.4110000000005
SOYB,2395.272912482066,2545.3793202489232,1925.789019607843,2136.160531354715,2442.739794356767,2637.363178554332,2427.4035102821617,2397.0152465294395,2443.369344811095,2446.2346912398275,2598.806666666667,1877.395854475826,2186.2305117168817,2058.0503063666824,2512.776432329029,2756.620928674007,2591.0849450023907,2527.231153662039,2623.879287422286,2403.550947821924,2396.617729180245
SPIN,5457.275,8419.011666666667,4027.8816666666667,7881.62,5055.33,4530.94,6775.801666666667,7637.025000000001,6330.470000000001,4134.391666666666,3739.8733333333334,3363.15,5310.599999999999,6663.928333333333,5018.685,6317.72,6399.48,5486.258333333334,5150.86,7896.866666666668,5779.858416666667
SPOT,2716.7866666666664,3613.8633333333332,2286.9733333333334,3418.111666666666,3616.82,3161.1,3557.403333333333,3484.0049999999997,3667.77,2976.206666666667,2301.6566666666663,1615.0233333333335,2043.0,2991.8366666666666,3946.985,3649.596666666667,3115.668333333333,3690.9283333333333,3364.186666666667,3477.1083333333336,3134.7515
SQUA,911.705,959.3233333333334,1073.62,1885.7166666666665,839.0783333333333,49.973333333333336,1798.3100000000002,1548.8616666666667,1643.2766666666666,264.05,85.71166666666666,1356.1999999999998,1792.7666666666664,2311.8633333333332,1370.3783333333333,310.0983333333333,755.1466666666666,1639.1033333333332,1394.1466666666668,2002.0466666666669,1199.5688333333333
STRW,2325.3283333333334,2963.8783333333336,2674.8416666666667,2852.685,2627.1516666666666,2301.873333333333,3063.8249999999994,3022.221666666667,3454.6083333333336,2126.881666666666,2697.5033333333336,2254.653333333333,2642.4533333333334,2984.6983333333333,3025.388333333334,3166.94,2954.01,3209.9083333333333,3107.531666666667,3824.8416666666667,2864.0611666666673
SWRN,7567.236989966555,8232.266923076922,8280.03933110368,8790.077759197324,8767.742675585283,8592.214515050167,9249.559130434784,9400.130133779265,9493.66127090301,9106.902608695651,8881.342742474917,8929.302107023412,9096.839966555186,10172.34568561873,9756.14364548495,9257.601839464884,9131.07237458194,9350.495986622072,9428.479966555185,9219.193612040135,9035.132463210703
TOMA,2646.3233333333333,3137.19,2338.7550000000006,3346.19,2863.1416666666664,2387.685,3298.4583333333335,2926.3799999999997,3459.1766666666667,1857.3966666666668,1215.5316666666668,1002.1616666666667,751.8066666666667,2428.061666666667,3097.135,2618.4900000000002,1864.665,2721.9533333333334,3141.5933333333337,2435.6766666666667,2476.888583333333
WATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
