,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
ALFA,1373.986953125,2086.235418371142,1565.5200416666667,2085.592116028263,1921.1863124999998,2369.417158795091,1568.51890625,2167.2135217552996,1685.7608645833332,1979.3425251022682,1867.8930989583334,2093.6184975827446,1409.3018072916666,2095.981335068799,1264.771765625,1926.6307958348827,1595.4623125,2147.0953030866494,1681.2728333333334,1813.2068092227596,1834.9004188340616
APPL,6310.488333333334,6424.858333333334,6287.86,5124.916666666667,6984.913333333334,6429.378333333333,5556.709999999999,4227.6883333333335,5751.208333333333,5491.566666666666,5978.033333333333,4759.3133333333335,4521.179999999999,6157.345,5639.858333333334,6405.595,5960.741666666666,5922.831666666666,5756.400000000001,4504.599999999999,5709.774333333333
BERM,785.3783832335329,1284.2304011976048,650.6707784431139,551.094883233533,985.5545179640719,522.3468008982037,1174.8567080838325,574.8861122754491,248.40355538922157,366.2128203592814,363.4995973053892,214.93623952095808,716.8137245508982,1765.3641811377247,1120.7935703592814,277.63278293413174,297.96381886227545,355.17483532934136,488.5893517964072,296.39615718562874,652.0399610029939
BLUE,2263.6183333333333,3247.605,2405.7866666666664,2089.315,3124.4133333333334,3172.603333333334,2319.025,2731.28,2827.7549999999997,2395.1566666666663,3408.9233333333336,1549.765,1255.0433333333333,2273.2033333333334,3039.2799999999993,3547.4449999999997,2718.0233333333335,2472.32,2245.026666666667,1949.4933333333336,2551.754083333333
BROC,1675.9066666666668,3346.5366666666664,1631.1233333333332,2545.01,3336.961666666666,1641.3999999999999,2760.058333333333,2667.4066666666668,3028.64,2024.5616666666667,2465.4249999999997,1642.675,1315.1133333333332,1799.8616666666667,2429.6566666666663,3438.1516666666666,2630.7033333333334,2381.898333333333,2151.4583333333335,2414.815,2366.3681666666666
CABG,4664.583333333333,5605.866666666668,3783.155,5847.316666666667,6080.163333333333,4592.923333333333,5099.243333333333,5686.221666666665,5758.014999999999,3583.1983333333333,5544.524999999999,3937.311666666667,4107.991666666668,5698.713333333333,4211.259999999999,5800.224999999999,5044.886666666666,4720.328333333333,5021.464999999999,4802.8966666666665,4979.5145
CHER,7634.348333333334,8896.748333333335,7821.135000000001,7287.173333333333,9533.851666666666,8567.824999999999,7947.445,6685.298333333333,8209.018333333335,7328.1483333333335,8824.698333333334,6460.288333333334,6136.735000000001,7461.378333333334,8380.17,9001.655,8225.791666666666,8375.223333333333,8178.293333333332,7589.005,7927.2115
COLG,3201.9449999999997,3902.433333333333,1942.6083333333336,4161.598333333333,3222.7033333333334,2694.596666666667,3834.1883333333335,4042.103333333334,4885.173333333333,2592.508333333333,2949.1299999999997,2487.7,2860.4833333333336,5085.416666666667,3247.125,3540.528333333333,3168.9083333333333,4040.148333333334,3046.3283333333334,4583.62,3474.462333333333
CORN,5412.598248143294,7235.627400784998,5627.6431017911755,7008.160671609245,6814.559349060725,6870.890444832097,6570.332127566623,6560.789777583951,6179.838615115771,5175.351181857828,6639.549654871123,5467.085721761883,5057.306941896024,5734.492664631487,6575.933446920052,7444.017967727868,6652.468488422893,5253.672695159181,5311.0187549148095,5931.222067160924,6176.1279660905975
CRRT,9156.378333333334,10385.363333333335,8950.786666666667,10578.571666666667,9127.63,9337.28,10756.396666666667,10469.47,10704.841666666667,7518.214999999999,7974.364999999999,4816.255,7877.2,9531.41,10243.87,8867.833333333332,8539.08,10461.036666666665,10613.720000000001,10334.32,9312.201166666668
CUCM,103.39833333333335,113.97833333333334,58.655,376.5466666666666,91.37833333333333,7.0183333333333335,532.8966666666666,219.76500000000001,234.41833333333332,35.95333333333334,9.418333333333335,215.56333333333336,398.91333333333336,526.285,210.24166666666667,32.803333333333335,86.96000000000002,366.5799999999999,190.13833333333332,389.77833333333336,210.03449999999998
DRYB,2104.995,2109.0016666666666,1821.158333333333,2660.965,1976.405,1507.6533333333334,2556.41,2218.991666666667,2537.9266666666667,1550.6333333333332,1668.8799999999999,2026.4366666666667,2187.4683333333337,1933.0783333333331,2132.6566666666668,1906.1066666666666,1980.1516666666664,2915.986666666666,2487.071666666667,2916.83,2159.9403333333335
FESC,9520.095484536083,10467.79673539519,10542.448096219932,10876.259512027491,11497.116316151201,11816.150570446734,11994.642639175258,12452.964446735396,12789.337051546392,12630.60030927835,13010.940591065293,12648.887037800687,12308.292316151203,12607.881340206186,13194.243113402063,13668.654082474226,13691.14443298969,13757.396426116837,13893.098405498282,13768.13956701031,12356.80442371134
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
