,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,AVG
ALFA,1382.1595877378436,2095.6745526613813,1573.6689164904865,2094.1357984144956,1931.012378435518,2380.405073612684,1573.1812103594084,2175.7737146092863,1693.9963054968289,1990.4672178180447,1875.2464799154336,1573.3428691476593,1861.5886753915893
APPL,6304.563333333334,6040.198333333334,5828.766666666666,4892.423333333333,6651.565,6237.701666666667,5400.871666666667,4601.791666666667,5684.026666666666,5870.626666666666,6313.706666666668,4971.401666666666,5733.1369444444435
BERM,785.3783832335329,1284.2304011976048,650.6707784431139,551.094883233533,985.5545179640719,522.3468008982037,1174.8567080838325,574.8861122754491,248.40355538922157,366.2128203592814,363.4995973053892,0.0,625.5945465319361
BLUE,2262.07,3175.1516666666666,2523.7616666666663,2125.2883333333334,3189.498333333333,3279.536666666667,2297.77,2767.4999999999995,2891.5416666666665,2256.68,3475.1949999999997,1604.2166666666665,2654.0175
BROC,825.3716666666668,3322.2000000000003,881.5799999999999,2531.991666666667,3027.633333333333,865.9549999999999,2740.3650000000002,2533.976666666667,2260.3016666666667,1731.2033333333336,2482.858333333333,1269.145,2039.3818055555557
CABG,3934.3250000000007,5687.610000000001,3075.848333333333,5871.828333333334,6100.738333333334,4459.138333333333,5081.6449999999995,5280.361666666667,5657.903333333333,2820.4066666666663,5613.886666666666,3978.043333333333,4796.81125
CANA,2457.605,4915.595,2202.666666666667,4547.44,4587.098333333333,4070.6299999999997,4108.815,4747.448333333333,3885.485,3411.5266666666666,2552.518333333333,2216.518333333333,3641.9455555555555
CHER,6771.09,8290.705,6748.044999999999,6843.73,8868.393333333332,8207.385,7492.333333333333,6384.133333333334,7903.509999999999,7119.776666666668,8563.806666666665,6502.305,7474.601111111112
COLG,1792.63,4001.148333333333,1439.3283333333331,4529.405,2620.2500000000005,1704.11,3468.361666666666,4131.19,4272.7266666666665,2005.7466666666667,1276.2749999999999,1639.3583333333333,2740.0441666666666
CORN,5409.906923076923,7244.155437062937,5627.418531468531,7015.306818181818,6815.2136363636355,6878.501363636363,6572.790362762238,6568.574982517482,6183.1572902097905,5181.21083479021,6645.0352797202795,5472.526993006992,6301.149871066434
CRRT,8829.843333333332,10210.703333333333,9514.48,10410.663333333334,8323.613333333335,8600.38,9978.103333333334,9852.660000000002,9845.863333333335,7718.843333333334,7690.203333333332,5885.625,8905.081805555556
CUCM,94.23333333333333,130.21166666666667,53.89166666666667,396.8833333333334,119.825,5.988333333333333,517.23,262.9716666666667,231.53833333333333,23.46166666666667,8.493333333333334,108.75000000000001,162.78986111111112
DRYB,2082.8933333333334,2068.335,1846.8149999999998,2636.8283333333334,2044.376666666667,1473.0016666666663,2692.4683333333332,2430.3633333333332,2517.056666666667,1374.7466666666667,1607.0966666666666,1488.2166666666665,2021.8498611111115
FESC,9522.747295813315,10471.838695950584,10546.803596431022,10880.934907343859,11503.367494852437,11823.328325326012,12002.26514070007,12461.27282772821,12798.065010295126,12639.683761153055,13020.915264241592,14114.875896551723,11815.508184698914
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,5282.34,6364.29,4782.668333333334,5276.081666666667,6269.305,6548.055,5506.639999999999,5859.685,6020.610000000001,4368.87,6142.606666666667,4230.473333333333,5554.302083333333
HAY,627.0033446652719,614.7903661087865,499.15267520920503,582.1409231171547,525.1634832635983,536.5215062761507,511.3411192468619,536.9261924686192,493.6720554393305,455.5446600418409,479.52456066945604,487.9607947805457,529.1451401072351
HMEL,13.093333333333334,14.22166666666667,14.975000000000001,26.450000000000003,9.215,2.066666666666667,23.55333333333333,19.876666666666665,29.03333333333333,4.816666666666666,2.901666666666667,24.063333333333336,15.355555555555556
KALE,4940.453333333334,5537.546666666666,3486.7233333333334,5127.7,5740.236666666667,4643.241666666667,5335.135,3536.811666666667,5255.553333333333,3966.8650000000002,3837.258333333333,2537.933333333334,4495.454861111111
LETT,3899.6000000000004,6018.181666666667,3056.7574999999997,4028.339166666666,4590.176666666666,5729.2225,4321.595,4450.087500000001,4310.514999999999,2752.7608333333333,3802.7950000000005,1173.41,4011.1200694444447
