,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
ALFA,1381.5174237644585,2095.340942546001,1571.5707045215563,2092.9600938790836,1930.136898002103,2380.6328877206156,1573.4188380651947,2174.496969583177,1693.533606729758,1991.3038190011266,1874.7563827549945,2104.84228689448,1414.6710883280757,2104.1032557266244,1276.3013038906415,1940.4673037927148,1602.7175604626707,2158.086710476906,1688.8163564668769,1820.794018024784,1843.5234225315921
APPL,6304.563333333334,6040.198333333334,5828.766666666666,4892.423333333333,6651.565,6237.701666666667,5400.871666666667,4601.791666666667,5684.026666666666,5870.626666666666,6313.706666666668,4971.401666666666,4593.918333333333,5755.185,5569.676666666667,6293.221666666665,6131.291666666667,5731.091666666666,5596.621666666667,4590.485,5652.956749999999
BERM,785.3783832335329,1284.2304011976048,650.6707784431139,551.094883233533,985.5545179640719,522.3468008982037,1174.8567080838325,574.8861122754491,248.40355538922157,366.2128203592814,363.4995973053892,214.93623952095808,716.8137245508982,1765.3641811377247,1120.7935703592814,277.63278293413174,297.96381886227545,355.17483532934136,488.5893517964072,296.39615718562874,652.0399610029939
BLUE,2379.7933333333335,3153.8350000000005,2708.223333333334,2083.0816666666665,3135.19,3281.848333333333,2231.821666666667,2705.6600000000003,2859.7049999999995,2460.271666666666,3404.133333333333,1580.9966666666667,1206.8433333333335,2259.375,2923.955,3444.3983333333326,2856.331666666667,2405.1183333333333,2263.065,1985.7033333333336,2566.4674999999997
BROC,825.3716666666668,3322.2000000000003,881.5799999999999,2531.991666666667,3027.633333333333,865.9549999999999,2740.3650000000002,2533.976666666667,2260.3016666666667,1731.2033333333336,2482.858333333333,1269.145,1279.2366666666665,1655.158333333333,1545.785,3171.7616666666668,1970.1816666666666,2801.01,1836.6816666666666,2284.0049999999997,2050.820083333333
CABG,4635.771666666667,5664.451666666667,4571.281666666667,5838.169999999999,6092.751666666667,4958.336666666667,5116.718333333333,5505.134999999999,5695.756666666667,3861.1733333333336,5645.613333333334,3984.22,4071.7833333333333,5714.296666666666,4741.845,6034.736666666668,5609.941666666667,5050.621666666667,5279.036666666667,4876.89,5147.426583333334
CANA,2574.9666666666667,4992.213333333333,1763.005,4600.3116666666665,4551.668333333333,3432.7116666666666,3939.313333333333,4741.966666666667,3554.603333333333,3023.933333333333,2476.3683333333333,2396.423333333333,2861.931666666667,4543.8,2639.6833333333334,3878.466666666667,3876.935000000001,3065.398333333333,2891.808333333333,3115.463333333333,3446.048583333333
CHER,6771.09,8290.705,6748.044999999999,6843.73,8868.393333333332,8207.385,7492.333333333333,6384.133333333334,7903.509999999999,7119.776666666668,8563.806666666665,6502.305,6077.5216666666665,6745.451666666667,7909.903333333333,8723.5,8050.953333333334,7975.591666666667,7527.19,7184.5,7494.491250000001
COLG,1792.63,4001.148333333333,1439.3283333333331,4529.405,2620.2500000000005,1704.11,3468.361666666666,4131.19,4272.7266666666665,2005.7466666666667,1276.2749999999999,1639.3583333333333,2747.8249999999994,4926.515,1906.0866666666668,2164.13,2734.06,3819.145,2892.5166666666664,4401.376666666667,2923.609249999999
CORN,5416.917257217848,7248.188675120245,5634.987283464567,7020.129444687363,6823.2453849518815,6880.975203323131,6579.306211723535,6571.9633187581985,6188.789755030621,5181.990039352863,6649.621719160105,5476.239186707477,5064.478013998251,5744.309654569304,6587.279877515311,7458.625006558811,6662.667524059493,5261.962282466113,5317.778757655293,5940.091176213381,6185.477288626689
