,AVG
ALFA,1334.3622772668584
APPL,1301.388570515657
BERM,
BLUE,494.2291433371508
BROC,1933.2076165514095
CABG,2416.686290322581
CANA,
CHER,2566.1587174116694
COLG,3052.7393928513
CORN,2819.0673328745447
CRRT,2287.8990842387757
CUCM,1388.319351542202
DRYB,730.1395761109118
FESC,11917.131484346304
FRSD,
FRSE,
FRST,
GRAP,1154.3829369603932
HAY,453.85094110989047
HMEL,3672.1818145161296
KALE,3513.287290875874
LETT,1317.6914125669844
ONIO,723.9223455842746
PEAR,1687.073071833602
POTA,4060.9009577386214
PUMP,905.9795403225808
RASP,2139.0891740936836
SCRN,1473.046602967439
SGBT,
SNPB,571.5857832836658
SOYB,929.1638877198047
SPIN,3326.790942644914
SPOT,955.5883723395747
SQUA,581.2712016129033
STRW,615.4538927237417
SWRN,13261.109820677219
TOMA,581.3257196741104
WATR,
WETF,
WETN,
WWHT,1110.3601433691754
