,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,AVG
ALFA,,,,,,,,,,,
APPL,1692.0522673733049,1040.786196324457,990.705644097614,927.1975317134011,1681.865617112799,1493.1414224532768,2034.5628639130512,1853.908273533019,1236.429994977485,1788.2504447051201,1473.8900256203528
BERM,,,,,,,,,,,
BLUE,609.79023442089,679.2652062623702,164.12133473262,197.15979201885003,398.16856833768003,527.6973579809401,1489.4280877977003,1156.74056617014,567.4353025842901,1722.5332059987902,751.2339656304272
BROC,1884.462403739292,1446.569504754212,1792.2571765393961,771.560926371532,1193.617196850504,1411.455178736104,2447.5735869135683,1735.37833003024,2626.3549536398564,2255.943634795532,1756.5172892370238
CABG,3293.09,2209.5299999999997,2653.1549999999997,3055.24,693.49,752.2950000000001,4978.735,3869.675,1677.4299999999998,3701.385,2688.4025
CANA,,,,,,,,,,,
CHER,2609.8199222202243,2373.8546990409677,2414.582253636064,1478.1593388162,2050.1879454325117,2300.18541348044,2938.5563423556,2278.737393633704,2665.763877369112,3041.2004373364075,2415.104762332123
COLG,865.5651549648181,3037.3547269818064,3859.738609843116,2883.91799856699,2773.6534781767355,3181.3648132917424,3226.304516710968,3833.7972158968023,3757.9671314262,4053.211374966831,3147.287502082601
CORN,2920.0994040969854,2949.9188405890595,2697.1655012690626,2742.9854203822656,3304.1457355432008,3274.8588593701384,3530.8166721690045,3584.178247000981,2851.413498777213,3186.831145966614,3104.2413325164525
CRRT,2562.641474875482,2677.7946487379845,3079.146805806508,2061.7594712883206,1507.074179389884,2393.227643172009,2465.8593104556876,2822.999079653792,2002.7518721164358,2573.6356681915354,2414.6890153687636
CUCM,1361.430377118224,1530.94593207052,925.7684744206879,1760.9080077647097,1427.208972983126,1566.4342899051478,1329.4836672206918,1534.615000920482,1004.7792420062899,1532.5926023290958,1397.4166566738973
DRYB,716.4259729702815,754.7168943014236,697.0813968139175,672.4805091845011,631.4374067899405,696.3186832390156,801.4752862495085,785.7063518303511,676.4594441615341,809.330223619351,724.1432169159824
FESC,,,,,,,,,,,
FRSD,,,,,,,,,,,
FRSE,,,,,,,,,,,
FRST,,,,,,,,,,,
GRAP,2079.1728478233117,1469.0033754768992,744.6082482211389,1148.632013770737,1087.1062226307056,1375.0675516694205,1916.0359575524515,1813.0312909420365,800.6236945565669,1814.2842231713894,1424.756542581466
HAY,,,,,,,,,,,
HMEL,4120.02175,3841.0222499999995,3829.9950000000003,3953.1277500000006,3541.7037499999997,3859.6317500000005,3872.4725,4595.032,2875.08975,3924.7844999999998,3841.2881
KALE,4400.33840640009,3947.9502261553207,4385.29203534807,2957.590832248206,2719.2690044947353,3427.635838281732,4195.907169829452,4685.784380599014,2386.3635129293193,4246.956062458956,3735.3087468744898
LETT,1768.3057233228617,930.1267764885098,1933.8611252898168,202.41357259703582,603.8561907122976,963.1200238555897,1186.1217453728414,2048.0703328378063,2683.371626233036,2103.9993255723753,1442.324644228217
ONIO,1226.5112361611382,701.2320330854818,995.8085015103974,216.68643751802742,451.69398962097904,630.9080029743499,937.8888874318753,1096.652938934837,1117.854095588562,1019.9797881705894,839.5215910996238
PEAR,1791.606165694608,1237.005466784364,1009.96663451886,1120.0696062742302,1902.6374504323721,1166.29580376487,2678.1513789351798,2501.6835015200922,1683.9408048998102,2593.201268464676,1768.4558081289063
POTA,4061.5598944025433,3382.93893190009,5267.568069094521,2284.2362161659694,3400.2853985991496,3650.09420930609,5093.385661079764,5533.840461523893,7385.993405297493,4599.738628716455,4465.964087608598
PUMP,619.7587500000001,1412.31025,515.03725,1736.88775,1597.87225,1124.84775,704.70725,339.62175,143.83525000000003,709.9039999999999,890.4782250000001
RASP,2275.753401164388,2095.732822228996,1985.261045920556,1358.628802541192,1599.8376446304078,1984.9351051311037,2567.4387629870876,2047.76256565324,2146.7093288045517,2491.747716939492,2055.380719600101
SCRN,1449.9005067482915,1802.8276519206436,2133.4291133061147,1038.91038450368,918.7008753784913,1505.9993276232367,1910.1790251149623,2409.2456910666197,1183.144246292006,2035.4845408689205,1638.7821362822965
SGBT,,,,,,,,,,,
SNPB,748.117396975225,631.763078736746,696.256248720716,633.1130142675461,471.97795963360403,519.569936771958,775.791075356625,869.209988926812,160.331842993116,850.8002431255271,635.6930785507875
SOYB,897.0382735610073,880.2783320818065,1014.1966946315175,867.9910413600411,892.9216584708851,877.6734962214715,907.9515900334317,1159.5292765345168,1120.6354166063481,1093.8527410995011,971.2068520600525
SPIN,3547.358725053182,2602.4013025915906,3275.5360615115987,3761.9100057681453,2616.24215114366,3348.1166736797013,4131.864920029424,3926.980479511436,3195.6452696727406,4179.0162587117175,3458.50718476732
SPOT,893.7431915017535,771.711338167562,974.1079552915186,526.5233822843367,394.030294730683,675.9627800368515,1414.3722050212689,1606.3774565210365,982.7144958910154,1282.8032884323584,952.2346387878384
