,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
ALFA,1020.3476538269134,1363.2672327493742,1318.978379189595,1438.3546478369683,1274.5416358179089,1533.7608902395423,1628.5717108554277,1903.3899713979263,1256.1456528264132,1634.87599213443,1416.0957828914457,1336.4210332499106,1608.934812406203,1510.4115194851624,1006.7017058529265,1012.074783696818,1052.5772736368183,1562.1817947801217,1373.0213506753378,1747.486285305685,617.5704302151075,824.9837504469074,1113.273056528264,1105.9848873793349,1146.1802651325663,1429.1511691097605,1165.7227013506752,1509.8263246335357,1572.1912356178088,1420.2621737575976,1461.944492246123,1334.3622772668584
APPL,1692.0522673733049,1040.786196324457,990.705644097614,927.1975317134011,1681.865617112799,1493.1414224532768,2034.5628639130512,1853.908273533019,1236.429994977485,1788.2504447051201,861.951350715144,1196.137513366574,1886.7028839611648,880.3578893834219,1120.064341039479,1142.306392025215,1206.690072808984,1381.169945744386,1258.0317048948891,1343.631584136556,777.1682330402269,752.939817924155,1403.7452354493562,787.691389066234,1573.154652578374,971.1066335418811,1224.103429412094,2156.018575935043,1361.1298839426079,880.279480273014,1439.764420543031,1301.388570515657
BERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE,304.895117210445,679.2652062623702,82.06066736631,197.15979201885003,398.16856833768003,527.6973579809401,1489.4280877977003,1156.74056617014,283.71765129214504,1722.5332059987902,227.045786222565,313.90963169544,1203.30683438517,506.63262382038,109.14044602914001,294.82575556374,885.1053436272001,625.8142485567901,237.63049304751004,547.72334951661,101.688071615685,110.779082650575,356.37729528978,165.18826029694503,454.6028914891651,309.5291976804,453.73727263509005,295.13174176332,569.48863102884,412.11509722380003,299.66516887815,494.2291433371508
BROC,1884.462403739292,1446.569504754212,1792.2571765393961,771.560926371532,1193.617196850504,1411.455178736104,2447.5735869135683,1735.37833003024,2626.3549536398564,2255.943634795532,2016.851991402952,1936.521825870448,2876.155358000352,1634.768026715112,1601.523637355668,2730.464159053412,1825.520843596352,2307.029533202332,2269.544050390248,1928.0010835701441,1687.926277604452,1978.5568452953642,2361.3830013374163,1991.511458023428,2395.8515244888717,2096.671297951388,885.5499517599881,1365.073038522232,2499.122150060656,2073.9236148872283,1902.3135516354039,1933.2076165514095
CABG,3293.09,2209.5299999999997,2653.1549999999997,3055.24,693.49,752.2950000000001,4978.735,3869.675,1677.4299999999998,3701.385,817.645,1760.9850000000001,4101.885,1206.0900000000001,1032.915,19.56,2403.1400000000003,4628.4349999999995,3909.495,4434.885,32.06,163.16,4075.49,393.735,830.01,2228.56,2337.51,3840.55,4180.85,2826.185,2810.105,2416.686290322581
CANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHER,2609.8199222202243,2373.8546990409677,2414.582253636064,1478.1593388162,2050.1879454325117,2300.18541348044,2938.5563423556,2278.737393633704,2665.763877369112,3041.2004373364075,2953.669129286944,2938.082680081552,3617.802845286496,2477.357306893488,2269.1087277190722,3088.9959211770642,2273.719533918008,2736.872426260568,2865.316313230928,2806.641399033232,2238.09124974196,2383.8534136072,2868.7059588795837,2458.89928015168,2898.29504906152,2739.2629405499038,1468.079213546616,2067.898473898088,3051.184349956576,2615.42985977848,2582.60654438156,2566.1587174116694
COLG,865.5651549648181,3037.3547269818064,3859.738609843116,2883.91799856699,2773.6534781767355,3181.3648132917424,3226.304516710968,3833.7972158968023,3757.9671314262,4053.211374966831,3395.032346309373,3903.4909189202854,4188.4293046981775,2860.4601622521545,3714.9218205068973,4121.808324437727,3354.6971949952235,2415.015066480786,4230.47756693331,3308.180341839219,458.089485902433,579.584400108021,3922.3442031300456,3670.797884192901,4149.707559436592,3034.56299066613,1834.5514507149062,3285.6470415769772,1078.833868508781,2916.811541065653,2738.6026848886863,3052.7393928513
CORN,2920.0994040969854,2949.9188405890595,2697.1655012690626,2742.9854203822656,3304.1457355432008,3274.8588593701384,3530.8166721690045,3584.178247000981,2851.413498777213,3186.831145966614,2507.2093111378404,2687.1656635268405,2898.7500128289303,2589.341898123232,2654.9314843790394,2341.843566683244,2834.3577782275656,3058.2171597453935,2979.1399902624407,2690.322353010042,2281.321337119901,2075.5295821522363,2300.0216288425127,2598.4212973720346,2570.793458007329,3089.266789505333,2903.4074750880436,3366.147270952102,2667.7873386448246,2689.6360158008374,2565.062582536627,2819.0673328745447
