,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
ALFA,1020.3476538269134,1363.2672327493742,1318.978379189595,1438.3546478369683,1274.5416358179089,1533.7608902395423,1628.5717108554277,1903.3899713979263,1256.1456528264132,1634.87599213443,1416.0957828914457,1336.4210332499106,1608.934812406203,1510.4115194851624,1006.7017058529265,1012.074783696818,1052.5772736368183,1562.1817947801217,1373.0213506753378,1747.486285305685,617.5704302151075,824.9837504469074,1113.273056528264,1105.9848873793349,1146.1802651325663,1429.1511691097605,1165.7227013506752,1509.8263246335357,1572.1912356178088,1420.2621737575976,1461.944492246123,1334.3622772668584
APPL,2589.575,1592.855,1516.21,1419.015,2573.985,2285.1549999999997,3113.7650000000003,2837.285,1892.275,2736.8,1319.16,1830.61,2887.475,1347.33,1714.185,1748.225,1846.7600000000002,2113.79,1925.335,2056.34,1189.405,1152.325,2148.34,1205.51,2407.61,1486.2150000000001,1873.41,3299.645,2083.12,1347.21,2203.465,1991.6898387096778
BERM,564.2908248502994,748.1563263473054,397.7288083832335,9595.98128839845,3673.9139496290513,2504.5867467211715,1152.9790808383234,651.2954685628744,529.3906736526947,676.4609041916167,650.8580823353294,9160.750144175317,3201.1301332846447,4155.582936888149,505.90142964071856,321.1621092814371,636.1664461077844,12428.500275449102,474.6576601796407,9562.0005,451.3667005988023,198.05140568862274,268.61755838323353,373.1700479041916,423.03502544910174,358.63500149700593,9066.186371257483,448.5112769461078,12173.000665076053,3684.799799160124,10147.913794021899,3199.509078545153
BLUE,378.645,843.57,101.91,244.85,494.48,655.34,1849.7,1436.54,352.345,2139.19,281.965,389.84,1494.37,629.18,135.54,366.14,1099.2,777.19,295.11,680.21,126.285,137.575,442.58,205.145,564.565,384.4,563.49,366.52,707.24,511.8,372.15,613.776290322581
BROC,1955.07,1500.77,1859.41,800.47,1238.34,1464.34,2539.28,1800.4,2724.76,2340.47,2092.42,2009.08,2983.92,1696.02,1661.53,2832.77,1893.92,2393.47,2354.58,2000.24,1751.17,2052.69,2449.86,2066.13,2485.62,2175.23,918.73,1416.22,2592.76,2151.63,1973.59,2005.6416129032261
CABG,3293.09,2209.5299999999997,2653.1549999999997,3055.24,693.49,752.2950000000001,4978.735,3869.675,1677.4299999999998,3701.385,817.645,1760.9850000000001,4101.885,1206.0900000000001,1032.915,19.56,2403.1400000000003,4628.4349999999995,3909.495,4434.885,32.06,163.16,4075.49,393.735,830.01,2228.56,2337.51,3840.55,4180.85,2826.185,2810.105,2416.686290322581
CHER,3526.32,3207.49,3262.52,1997.25,2770.16,3107.95,3970.5,3078.97,3601.91,4109.19,3990.92,3969.86,4888.28,3347.34,3065.96,4173.77,3072.19,3697.99,3871.54,3792.26,3024.05,3221.0,3876.12,3322.4,3916.1,3701.22,1983.63,2794.09,4122.68,3533.9,3489.55,3467.326129032258
COLG,954.94,3350.98,4258.28,3181.7,3060.05,3509.86,3559.44,4229.66,4146.0,4471.73,3745.59,4306.55,4620.91,3155.82,4098.51,4547.41,3701.09,2664.38,4667.3,3649.77,505.39,639.43,4327.35,4049.83,4578.19,3347.9,2023.98,3624.91,1190.23,3217.99,3021.38,3367.9532258064523
CORN,4326.279792586055,4370.4588453063025,3995.991571050309,4063.8761745262236,4895.264492497793,4851.8744557073605,5231.089324801413,5310.147285147643,4224.518036187114,4721.456800352578,3714.5615533980585,3981.176289114147,4294.649554280671,3836.2452710445127,3933.4196690202994,3469.563565447334,4199.249095322153,4530.90846187748,4413.751504854369,3985.8530894667256,3379.8967210944393,3075.005486998678,3407.6021800529566,3849.696875275452,3808.7647881729918,4576.910110180696,4301.549827890556,4987.123005729396,3952.4662886142983,3984.8362450418695,3800.274196822595,4176.595501866532
CRRT,3697.98,3864.1499999999996,4443.315,2975.1899999999996,2174.76,3453.51,3558.3199999999997,4073.6850000000004,2890.04,3713.8450000000003,3755.3900000000003,3238.315,4131.51,3263.775,4240.015,3229.4300000000003,4416.985,2346.495,4247.72,2573.52,2905.12,2262.055,2680.54,2910.66,4980.85,2512.215,1975.0949999999998,4121.695,3066.55,1653.42,2990.885,3301.5172580645158
CUCM,2083.48,2342.9,1416.76,2694.825,2184.145,2397.21,2034.59,2348.5150000000003,1537.675,2345.42,2012.935,2360.87,2062.075,2285.09,1680.9650000000001,2068.465,2502.995,2640.2349999999997,2097.475,2294.5,1361.12,1608.24,1680.665,2185.31,2124.62,1976.98,2191.56,1927.505,2598.885,2530.865,2286.65,2124.629838709677
DRYB,1061.4225,1118.1525000000001,1032.7625,996.315,935.5074999999999,1031.6325000000002,1187.4275,1164.065,1002.21,1199.065,1100.345,1248.22,1443.2025,1007.0224999999999,981.435,1089.8925,1103.905,962.075,1236.495,1249.665,920.505,813.7550000000001,1148.935,1007.385,1249.0825,986.1500000000001,985.8,1149.41,1006.4450000000002,1012.7375000000001,1102.915,1081.7399193548388
FESC,9206.668372404554,8832.534748827862,9180.808004018754,8544.568004018754,8562.390294708639,8684.309089082384,10614.030904219693,11601.734306764904,12331.127227059613,12856.493556597457,12613.564072337575,12276.98799732083,13738.563415941058,13076.945894172806,12786.451741460147,12734.062913596785,12829.444876088412,12956.831413261887,13072.258425987942,12812.615994641661,12120.791848626926,11840.973442732753,11959.643636972538,11637.729129269926,13047.455478901542,12865.956121902213,13363.351788345612,13627.551862022772,13397.361808439384,13150.94474212994,13106.92490288011,11917.131484346304
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
