,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,AVG
ALFA,4108.596224415204,4300.1725858465215,3270.101847557499,4237.623302998657,4119.949471186441,4167.875327354261,4405.927750847458,4356.946924455062,3934.7278768890524,3847.060990130033,4074.898230168019
APPL,7729.66,6859.15,7528.83,6866.34,6755.63,6684.7,6200.0,7629.04,6888.2,6894.87,7003.642
BERM,630.3556511976047,699.3813353293413,951.4225269461078,300.3605344311377,295.86021856287425,394.5230134730539,469.11533083832336,361.4961691616767,729.9356946107783,548.5146362275449,538.0965110778443
BLUE,532.15,1241.24,1445.01,718.24,576.95,915.91,542.22,575.35,757.46,887.56,819.2090000000001
BROC,2190.38,2524.3,2419.88,583.65,2459.59,1714.55,1122.29,650.3,1886.88,1220.84,1677.266
CABG,4565.08,4826.93,4613.01,4841.49,4354.41,4011.37,3479.59,4604.73,5002.42,4025.08,4432.411
CHER,9121.65,9252.85,9934.4,8811.55,9387.32,8675.36,8672.57,9331.83,8575.38,8889.71,9065.261999999999
COLG,859.01,1769.48,1093.85,833.79,1042.26,886.67,968.32,1230.13,968.95,1026.74,1067.9199999999998
CORN,11269.988850174215,9994.565658409387,10229.185788327526,9977.505388961321,8057.44344947735,8147.243368100827,8578.24918554007,8900.34325076054,9843.308667247387,7936.81581920904,9293.464942620765
CRRT,10888.15,10517.47,10157.19,10328.83,9695.83,9504.49,9965.72,9367.28,9188.72,8554.55,9816.823
CUCM,708.55,1435.39,1532.4,1402.64,496.2,1047.39,657.76,966.69,1185.08,717.52,1014.9620000000001
DRYB,874.55,1562.26,1570.19,1117.36,1110.56,1480.58,937.67,1365.92,1347.26,1194.94,1256.1290000000001
FESC,12131.903007367717,13452.632893503016,14407.74652377763,14915.02054922974,15271.896054922976,15308.020609511052,16424.49565974548,16944.458050904224,16921.461406563965,16896.58326858674,15267.421802411258
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,3274.53,3392.42,3369.01,3276.14,3319.27,2968.8,3218.44,3404.71,2788.87,2967.41,3197.9599999999996
HMEL,4348.1,4053.68,4854.7,2510.49,2963.72,4368.07,4276.62,3522.25,3458.82,5680.22,4003.667
KALE,6581.8,6169.48,4403.4,6709.22,6502.1,5881.86,5790.47,7109.69,4159.09,6319.39,5962.65
LETT,9023.825,7614.3099999999995,7824.09,9937.065,9641.395,8641.904999999999,9189.865000000002,10126.685000000001,8758.775,8894.654999999999,8965.257
ONIO,4983.41,7746.19,9156.76,8303.29,7688.13,7685.79,8484.94,8921.92,8972.57,7233.72,7917.6720000000005
PEAR,6627.18,6883.42,6585.78,6724.56,6131.45,4424.17,5551.71,5132.03,6053.34,5653.96,5976.76
POTA,7851.97,7860.11,7747.67,8127.98,7604.67,7542.88,7667.27,7852.83,8480.7,7789.47,7852.555
PUMP,2008.96,2349.09,2373.48,2123.76,2010.27,1934.37,1760.23,2076.01,1878.33,1961.48,2047.598
RASP,1089.93,1511.37,1898.06,785.58,845.58,1114.79,580.65,1260.03,869.9,877.53,1083.342
SCRN,5422.96,6678.35,9106.72,5794.25,5325.7,7066.27,4558.08,5677.07,5788.63,6260.02,6167.805
SNPB,938.88,1552.35,1545.03,1161.48,1150.29,1505.0,997.06,1313.3,1440.25,1204.03,1280.767
SOYB,1664.7808617424241,2125.6085524442333,2043.369715909091,2093.9958186995727,1880.428622159091,1954.9436829615565,1981.974327651515,1980.4083626008544,1971.6297301136365,1684.9785666824869,1938.211824096446
SPIN,1408.08,1705.88,3333.45,614.39,1141.97,1635.66,1116.43,895.49,1085.6,1981.12,1491.807
SPOT,2518.22,4087.29,3400.54,3541.14,2773.8,5228.8,3873.32,3887.72,4766.49,5404.91,3948.2229999999995
SQUA,2793.48,3032.61,3156.17,2965.92,2866.93,2109.09,2647.13,3110.92,2786.23,2835.79,2830.427
STRW,3606.06,2583.25,2080.25,2809.59,3735.21,4590.86,4754.1,4515.69,4655.85,5251.02,3858.1880000000006
SWRN,9912.82850931677,10726.323571428571,11851.900838509318,11584.000931677017,11375.011366459628,11710.530745341615,12215.56145962733,12306.365341614906,13275.439565217392,13396.284347826086,11835.424667701862
TOMA,7794.41,8809.34,9358.76,9334.72,6900.85,6463.37,6691.77,5427.74,9449.18,4891.26,7512.139999999999
WATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWHT,1634.3925,1507.7350000000001,1472.3025,1472.4099999999999,1319.395,1025.4125,1023.5875000000001,1213.85,1041.425,1317.48,1302.799
