Food,Feed/ Fuel,Code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
Chicken,Corn grain,CORN,2935.0696387890857,2962.395436375769,2709.9850450869294,2753.343627056544,3318.596952550468,3291.1356568759447,3548.1872891993885,3596.9810849205032,2867.431408419448,3201.1013491896742,2521.7432789653344,2698.566700661708,2912.243443844943,2599.824245434671,2671.0038026593065,2353.7914088361863,2848.4568526669627,3072.2667493048193,2993.818959702481,2698.10648499014,2294.683185145806,2086.145410497498,2309.5376520437985,2610.179843002706,2585.364667336206,3104.0119972579705,2912.276423511551,3373.89729953485,2679.759726282575,2701.4850936638054,2578.67195647927,2831.9375054931083
Chicken,Soybean meal,SOYB,897.1319625513404,881.3039528761925,1016.8769396885292,869.3768326246668,893.7089700943034,879.1631806647728,910.403528591515,1162.0960495115457,1126.4986224679049,1095.0949691661738,851.4719052288842,956.8127621437112,1123.7247520120543,852.604581440849,1033.912322318876,976.8887209361758,1114.9299286171574,822.6122548500011,1136.6609391202467,540.0232161041631,863.4146577163543,815.2681095057866,815.830652378841,831.1139318808656,1128.9946328407318,930.6220716111188,760.7654710127428,1114.4400016946672,864.1826089620565,850.3357273991797,763.3438709354987,931.6002621595777
Beef,Hay/halage (excluding alfalfa),HAY,515.3273835403727,473.64011387163566,731.8689932712216,460.0760377846791,458.1748783643893,444.8419979296067,477.2069513457557,445.8647826086956,646.2618892339544,423.5658022774327,388.43408902691505,363.0943633540373,444.62219461697725,411.93004917184265,420.46593685300206,358.32958850931686,375.34399585921324,497.6697023809524,430.5997075569358,490.56894668737056,413.42156832298133,439.5338017598344,403.0728519668737,375.95662008281573,372.36197463768116,420.5452562111802,544.3852820910973,442.7033488612837,442.01688146997924,450.9871092132505,499.77301759834364,453.6337134341815
Beef,Grazing land,FESC,9224.574817869416,8847.961766323026,9204.358,8566.950810996563,8592.820467353951,8714.651298969073,10659.843745704467,11650.088158075603,12390.563567010311,12910.065711340205,12663.342474226805,12327.44470790378,13780.211374570446,13120.598907216496,12838.951278350514,12795.608742268041,12888.068027491408,13022.253945017184,13142.411285223367,12877.874295532645,12183.990123711343,11905.250144329897,12020.274666666666,11700.87436426117,13111.789683848796,12937.833621993128,13431.693945017181,13691.923216494846,13465.54876975945,13228.893725085909,13184.41676975945,11970.35911007649
Beef,Corn grain,CORN,2935.0696387890857,2962.395436375769,2709.9850450869294,2753.343627056544,3318.596952550468,3291.1356568759447,3548.1872891993885,3596.9810849205032,2867.431408419448,3201.1013491896742,2521.7432789653344,2698.566700661708,2912.243443844943,2599.824245434671,2671.0038026593065,2353.7914088361863,2848.4568526669627,3072.2667493048193,2993.818959702481,2698.10648499014,2294.683185145806,2086.145410497498,2309.5376520437985,2610.179843002706,2585.364667336206,3104.0119972579705,2912.276423511551,3373.89729953485,2679.759726282575,2701.4850936638054,2578.67195647927,2831.9375054931083
Beef,Soybean meal,SOYB,897.1319625513404,881.3039528761925,1016.8769396885292,869.3768326246668,893.7089700943034,879.1631806647728,910.403528591515,1162.0960495115457,1126.4986224679049,1095.0949691661738,851.4719052288842,956.8127621437112,1123.7247520120543,852.604581440849,1033.912322318876,976.8887209361758,1114.9299286171574,822.6122548500011,1136.6609391202467,540.0232161041631,863.4146577163543,815.2681095057866,815.830652378841,831.1139318808656,1128.9946328407318,930.6220716111188,760.7654710127428,1114.4400016946672,864.1826089620565,850.3357273991797,763.3438709354987,931.6002621595777
Pork,Corn grain,CORN,2935.0696387890857,2962.395436375769,2709.9850450869294,2753.343627056544,3318.596952550468,3291.1356568759447,3548.1872891993885,3596.9810849205032,2867.431408419448,3201.1013491896742,2521.7432789653344,2698.566700661708,2912.243443844943,2599.824245434671,2671.0038026593065,2353.7914088361863,2848.4568526669627,3072.2667493048193,2993.818959702481,2698.10648499014,2294.683185145806,2086.145410497498,2309.5376520437985,2610.179843002706,2585.364667336206,3104.0119972579705,2912.276423511551,3373.89729953485,2679.759726282575,2701.4850936638054,2578.67195647927,2831.9375054931083
Pork,Soybean meal,SOYB,897.1319625513404,881.3039528761925,1016.8769396885292,869.3768326246668,893.7089700943034,879.1631806647728,910.403528591515,1162.0960495115457,1126.4986224679049,1095.0949691661738,851.4719052288842,956.8127621437112,1123.7247520120543,852.604581440849,1033.912322318876,976.8887209361758,1114.9299286171574,822.6122548500011,1136.6609391202467,540.0232161041631,863.4146577163543,815.2681095057866,815.830652378841,831.1139318808656,1128.9946328407318,930.6220716111188,760.7654710127428,1114.4400016946672,864.1826089620565,850.3357273991797,763.3438709354987,931.6002621595777
Eggs,Corn grain,CORN,2935.0696387890857,2962.395436375769,2709.9850450869294,2753.343627056544,3318.596952550468,3291.1356568759447,3548.1872891993885,3596.9810849205032,2867.431408419448,3201.1013491896742,2521.7432789653344,2698.566700661708,2912.243443844943,2599.824245434671,2671.0038026593065,2353.7914088361863,2848.4568526669627,3072.2667493048193,2993.818959702481,2698.10648499014,2294.683185145806,2086.145410497498,2309.5376520437985,2610.179843002706,2585.364667336206,3104.0119972579705,2912.276423511551,3373.89729953485,2679.759726282575,2701.4850936638054,2578.67195647927,2831.9375054931083
Eggs,Soybean meal,SOYB,897.1319625513404,881.3039528761925,1016.8769396885292,869.3768326246668,893.7089700943034,879.1631806647728,910.403528591515,1162.0960495115457,1126.4986224679049,1095.0949691661738,851.4719052288842,956.8127621437112,1123.7247520120543,852.604581440849,1033.912322318876,976.8887209361758,1114.9299286171574,822.6122548500011,1136.6609391202467,540.0232161041631,863.4146577163543,815.2681095057866,815.830652378841,831.1139318808656,1128.9946328407318,930.6220716111188,760.7654710127428,1114.4400016946672,864.1826089620565,850.3357273991797,763.3438709354987,931.6002621595777
Dry Beans  ,None,DRYB,1257.657687735431,1248.3438825370947,1091.3163817377038,1053.395942713348,1039.5913519825503,1155.940045489651,1252.230946901615,980.5691707192392,896.1982000442392,1266.3940205122583,1115.259738268993,1211.5851380334107,1164.7708737536343,1074.04845640622,1009.8665215585181,1066.0905864521544,1324.6962361591427,956.2403325974881,1117.301140777236,1055.4973423562933,928.2179208706314,882.031376612677,703.2294157014818,1045.1110883751546,1319.7854706837659,881.9811290123638,962.8557666625918,1015.3690087748955,1074.3844403605526,857.3965531039445,988.2420542834694,1064.3741361670245
Cheese,Alfalfa hay/haylage,ALFA,1011.7278215223097,1356.7007911511064,1315.5971968503939,1431.9651406074242,1265.2661679790028,1523.9581702287212,1621.530708661417,1894.9901762279717,1254.2165144356954,1629.8194975628048,1408.5798477690291,1327.9432545931759,1596.602062992126,1501.3233483314586,1018.082440944882,1017.0950131233595,1049.12656167979,1561.0095575553057,1364.7003832020998,1737.9069478815147,622.1760262467192,825.242673415823,1104.935590551181,1097.7821297337832,1143.4232808398951,1432.5296025496816,1160.7605721784776,1500.3580839895012,1565.1886299212597,1410.0830446194225,1454.0899842519686,1329.1842329547515
Cheese,Hay/halage (excluding alfalfa),HAY,515.3273835403727,473.64011387163566,731.8689932712216,460.0760377846791,458.1748783643893,444.8419979296067,477.2069513457557,445.8647826086956,646.2618892339544,423.5658022774327,388.43408902691505,363.0943633540373,444.62219461697725,411.93004917184265,420.46593685300206,358.32958850931686,375.34399585921324,497.6697023809524,430.5997075569358,490.56894668737056,413.42156832298133,439.5338017598344,403.0728519668737,375.95662008281573,372.36197463768116,420.5452562111802,544.3852820910973,442.7033488612837,442.01688146997924,450.9871092132505,499.77301759834364,453.6337134341815
Cheese,Corn silage,CORN,2935.0696387890857,2962.395436375769,2709.9850450869294,2753.343627056544,3318.596952550468,3291.1356568759447,3548.1872891993885,3596.9810849205032,2867.431408419448,3201.1013491896742,2521.7432789653344,2698.566700661708,2912.243443844943,2599.824245434671,2671.0038026593065,2353.7914088361863,2848.4568526669627,3072.2667493048193,2993.818959702481,2698.10648499014,2294.683185145806,2086.145410497498,2309.5376520437985,2610.179843002706,2585.364667336206,3104.0119972579705,2912.276423511551,3373.89729953485,2679.759726282575,2701.4850936638054,2578.67195647927,2831.9375054931083
Cheese,Corn grain,CORN,2935.0696387890857,2962.395436375769,2709.9850450869294,2753.343627056544,3318.596952550468,3291.1356568759447,3548.1872891993885,3596.9810849205032,2867.431408419448,3201.1013491896742,2521.7432789653344,2698.566700661708,2912.243443844943,2599.824245434671,2671.0038026593065,2353.7914088361863,2848.4568526669627,3072.2667493048193,2993.818959702481,2698.10648499014,2294.683185145806,2086.145410497498,2309.5376520437985,2610.179843002706,2585.364667336206,3104.0119972579705,2912.276423511551,3373.89729953485,2679.759726282575,2701.4850936638054,2578.67195647927,2831.9375054931083
