Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forage),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha)
2020,704990.0,92573.48730575966,6933890644.316896,251764976391.77533,1546950621.272263,10178.369097934825,33346.12440941151,449.86801633147587,3567.464008471232,765.5388689727856,605.995747958667,1311.4508367835247,926.4773648122264,12113.809052274315,25317.330877259195,3991.059025549908,468681.829982,36913.58841788274
2021,711405.0,93415.85233372665,6961560832.991669,252708498642.93005,1552104190.3919902,10270.986351744454,33649.55479578064,453.96155428912977,3599.925861283815,772.5048285530072,611.5099576966132,1323.3842785599563,934.9077713361069,12224.037686822809,25547.703900390898,4027.3753472692274,468681.829982,37249.48065706446
2022,717575.0,94226.0459771493,6988174249.067013,253615986139.36414,1557060935.7495453,10360.06639165177,33941.39664829779,457.8987529171461,3631.1479395150914,779.2047460292297,616.8135701803436,1334.8619614532654,943.0162059818342,12330.056498227977,25769.278577354668,4062.3046855401853,468681.829982,37572.54458781288
2023,723768.0,95039.25979136591,7014886872.365976,254526856490.323,1562036158.4398758,10449.47849653767,34234.3264039929,461.8506282985569,3662.4864047478777,785.9296388866439,622.1369530185514,1346.3824298743787,951.1548665589805,12436.470517520074,25991.679221509712,4097.364230420581,468681.829982,37896.812808740775
2024,729975.0,95854.31197041363,7041659882.670624,255439785970.12305,1567022628.20233,10539.092727932271,34527.91836162239,465.8114373559471,3693.895714242454,792.669734150001,627.4723699855712,1357.9289416602412,959.3119255291635,12543.125098134646,26214.582628302924,4132.503031498028,468681.829982,38221.814075864844
2025,736174.0,96668.31365527217,7068398386.1148815,256351538804.87097,1572002671.0664282,10628.59145846476,34821.131918146515,469.76714145563477,3725.264541301722,799.4011423242479,632.8009103075557,1369.4605715233897,967.4584711318969,12649.642215136375,26437.19874216005,4167.596543320016,468681.829982,38546.39645944824
2026,742344.0,97478.5072986948,7095011802.190226,257259026301.30505,1576959416.4239833,10717.671498372076,35112.973770663666,473.704340083651,3756.486619532998,806.1010598004705,638.1045227912858,1380.9382544166992,975.5669057776246,12755.661026541547,26658.773419123812,4202.525881590975,468681.829982,38869.46039019666
2027,748484.0,98284.76158890795,7121495817.53911,258162101378.79376,1581892060.9127011,10806.318410046453,35403.39661903569,477.6223951202831,3787.5568886318692,812.7684006925297,643.3823478561325,1392.360130099831,983.6359152954151,12861.164349398558,26879.270747577226,4237.28538515397,468681.829982,39190.95350766756
2028,754583.0,99085.63209640143,7147802985.228498,259059146150.39038,1586791767.5473409,10894.373379802486,35691.88016174267,481.51428724869015,3818.419685249787,819.3912202528993,648.6249301151715,1403.705735929052,991.6510438050245,12965.96317123975,27098.295699733153,4271.812781282751,468681.829982,39510.29984699246
2029,760636.0,99880.46226230699,7173911738.47065,259949425212.93744,1591654519.5164304,10981.764219601344,35978.187898093776,485.37682587030815,3849.049707864685,825.9640890508854,653.8279716652556,1414.9657707026668,999.6057204517974,13069.971577307091,27315.668717506524,4306.079764192655,468681.829982,39827.237605958464
