YEAR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,AVG
ALFA,4108.596224,4300.172586,3270.101848,4237.623303,4119.949471,4167.875327,4405.927751,4356.946924,3934.727877,3847.06099,4074.89823
APPL,7729.66,6859.15,7528.83,6866.34,6755.63,6684.7,6200,7629.04,6888.2,6894.87,7003.642
BLUE,532.15,1241.24,1445.01,718.24,576.95,915.91,542.22,575.35,757.46,887.56,819.209
BROC,2190.38,2524.3,2419.88,583.65,2459.59,1714.55,1122.29,650.3,1886.88,1220.84,1677.266
CABG,4565.08,4826.93,4613.01,4841.49,4354.41,4011.37,3479.59,4604.73,5002.42,4025.08,4432.411
CHER,9121.65,9252.85,9934.4,8811.55,9387.32,8675.36,8672.57,9331.83,8575.38,8889.71,9065.262
COLG,859.01,1769.48,1093.85,833.79,1042.26,886.67,968.32,1230.13,968.95,1026.74,1067.92
CORN,11269.20265,9993.349943,10226.12146,9978.161527,8051.095168,8145.644276,8573.185888,8898.109587,9841.815229,7935.060922,9291.174664
CRRT,10888.15,10517.47,10157.19,10328.83,9695.83,9504.49,9965.72,9367.28,9188.72,8554.55,9816.823
CUCM,905.98,1132.71,1462.88,1095.64,881.91,1257.7,774.84,913.45,1107.19,558.83,1009.113
DRYB,874.55,1562.26,1570.19,1117.36,1110.56,1480.58,937.67,1365.92,1347.26,1194.94,1256.129
KALE,6581.8,6169.48,4403.4,6709.22,6502.1,5881.86,5790.47,7109.69,4159.09,6319.39,5962.65
GRAP,3274.53,3392.42,3369.01,3276.14,3319.27,2968.8,3218.44,3404.71,2788.87,2967.41,3197.96
HMEL,4348.1,4053.68,4854.7,2510.49,2963.72,4368.07,4276.62,3522.25,3458.82,5680.22,4003.667
LETT,9105.7,4616.3,7596.04,6270.56,10105.09,5626.445,9602.86,6304.585,8907.66,5594.115,7372.9355
ONIO,4983.41,7746.19,9156.76,8303.29,7688.13,7685.79,8484.94,8921.92,8972.57,7233.72,7917.672
PEAR,6627.18,6883.42,6585.78,6724.56,6131.45,4424.17,5551.71,5132.03,6053.34,5653.96,5976.76
POTA,7851.97,7860.11,7747.67,8127.98,7604.67,7542.88,7667.27,7852.83,8480.7,7789.47,7852.555
PUMP,2008.96,2349.09,2373.48,2123.76,2010.27,1934.37,1760.23,2076.01,1878.33,1961.48,2047.598
RASP,1089.93,1511.37,1898.06,785.58,845.58,1114.79,580.65,1260.03,869.9,877.53,1083.342
SCRN,5422.96,6678.35,9106.72,5794.25,5325.7,7066.27,4558.08,5677.07,5788.63,6260.02,6167.805
SOYB,1664.780862,2125.608552,2043.369716,2093.995819,1880.428622,1954.943683,1981.974328,1980.408363,1971.62973,1684.978567,1938.211824
SPIN,1408.08,1705.88,3333.45,614.39,1141.97,1635.66,1116.43,895.49,1085.6,1981.12,1491.807
SPOT,2518.22,4087.29,3400.54,3541.14,2773.8,5228.8,3873.32,3887.72,4766.49,5404.91,3948.223
SQUA,2793.48,3032.61,3156.17,2965.92,2866.93,2109.09,2647.13,3110.92,2786.23,2835.79,2830.427
STRW,3606.06,2583.25,2080.25,2809.59,3735.21,4590.86,4754.1,4515.69,4655.85,5251.02,3858.188
TOMA,7794.41,8809.34,9358.76,9334.72,6900.85,6463.37,6691.77,5427.74,9449.18,4891.26,7512.14
FESC,12131.90301,13452.63289,14407.74652,14915.02055,15271.89605,15308.02061,16424.49566,16877.47881,16854.48217,16829.60403,15247.32803
SWRN,9912.828509,10726.32357,11851.90084,11584.00093,11375.01137,11710.53075,12215.56146,12306.36534,13275.43957,13396.28435,11835.42467
HAY,2155.940627,1755.51676,1573.888529,1606.577993,1733.932995,1936.054479,1909.788973,1674.439045,2025.876223,2051.223239,1842.323886
SNPB,938.88,1552.35,1545.03,1161.48,1150.29,1505,997.06,1402.16,1474,1346.68,1307.293
WWHT,3640.9,3319.359,3250.786,3208.309,3026.896,2496.952,2674.81,2992.596,2742.534,2971.934,3032.5076
