Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq)
2020,704990.0,189332.08121752736,6932870345.248333,251656566565.6195,1546780745.1635659
2021,711405.0,191054.89331558615,6960531249.793507,252599102350.25018,1551932768.5092573
2022,717575.0,192711.90822517654,6987135736.316301,253505641055.03137,1556888027.1285741
2023,723768.0,194375.10001368436,7013839396.775888,254415559077.5127,1561861757.5385303
2024,729975.0,196042.05164153327,7040603423.979614,255327534075.9854,1566846731.6471362
2025,736174.0,197706.85478975874,7067332955.900976,256238333659.6059,1571825280.7850852
2026,742344.0,199363.8696993491,7093937442.423769,257144872364.3871,1576780539.4044018
2027,748484.0,201012.82781035156,7120412571.637699,258047003263.47235,1581711704.3837543
2028,754583.0,202650.7749632838,7146710912.529518,258943110161.44,1586609941.3884888
2029,760636.0,204276.3683583812,7172810905.547749,259832458424.00732,1591471234.8119452
2030,766643.0,205889.6079956437,7198712550.692387,260715048051.17438,1596295584.6541226
2031,772596.0,207488.34539544783,7224381352.681072,261589703628.08884,1601076565.9443645
2032,778493.0,209072.04343788783,7249808687.693214,262456131301.03772,1605812572.4400065
2033,784328.0,210639.09076324597,7274968684.26704,263313449508.88177,1610498785.4130557
2034,790085.0,212185.1904122755,7299792351.837822,264159307421.9167,1615122354.9221976
2035,795762.0,213709.80526507046,7324271066.58497,264993411186.42926,1619681674.7247684
2036,801351.0,215210.78684200736,7348370333.226118,265814585387.56732,1624170319.8501105
2037,806861.0,216690.55218266265,7372128958.95393,266624152367.03967,1628595518.3902135
2038,812298.0,218150.71264675393,7395572815.230175,267422993685.9854,1632962089.07307
2039,817679.0,219595.83375348098,7418775204.529875,268213607100.9655,1637283684.9613266
2040,823018.0,221029.67534218487,7441796493.597168,268998049587.9715,1641571549.7536333
2041,828332.0,222456.80293206553,7464709984.907076,269778818903.5642,1645839336.5126364
2042,833640.0,223882.31916222855,7487597604.755211,270558706658.01776,1650102304.5436468
2043,838955.0,225309.71531206212,7510515407.975412,271339622900.46698,1654370894.423982
2044,844291.0,226742.75122090723,7533523761.311819,272123624606.90338,1658656349.852292
2045,849660.0,228184.64960819914,7556674407.687975,272912474899.6052,1662968308.284563
2046,855071.0,229637.82751351417,7580006154.296539,273707496120.2812,1667313997.812784
2047,860540.0,231106.5818960992,7603587991.702236,274511039098.63583,1671706268.378269
2048,866088.0,232596.55251496594,7627510470.021275,275326189298.65625,1676161985.5289934
2049,871726.0,234110.69352959652,7651821020.266901,276154562915.7642,1680689983.5996106
2050,877459.0,235650.34773975564,7676541201.990593,276996894584.24243,1685294278.1967812
