Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forage),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha)
2020,704990.0,85283.82289004816,5860739233.124977,189001940647.11963,1315409532.0013962,9094.079084281273,32336.81091534364,246.92341897134912,5771.693591852339,960.2387769634148,626.7682642651573,1154.4357656360896,864.9102422277067,10656.824136220897,19905.698802437488,3665.4398918487996,397349.1555600993,38108.50450719598
2021,711405.0,86059.8562009315,5885205043.253647,189609653389.77542,1320010641.0798724,9176.829928017587,32631.05713447005,249.17027883134875,5824.212655089736,968.9763927511852,632.4714918503159,1164.940461357384,872.7804236542385,10753.795053303209,20086.829113247055,3698.793268359403,397349.1555600993,38455.26978955979
2022,717575.0,86806.25145083803,5908801394.429353,190195835237.0262,1324446933.138404,9256.420373201228,32914.065579054615,251.33132720799702,5874.725924017988,977.3803038050503,637.9569032611389,1175.043964490726,880.3500291728202,10847.062482515656,20261.041742661713,3730.8728214491016,397349.1555600994,38788.7915030726
2023,723768.0,87555.42904932605,5932501665.874617,190784614812.10187,1328902443.334186,9336.307508861244,33198.12899839209,253.50043135655167,5925.427492003833,985.8155422420982,643.462762720981,1185.1851306017124,887.9478520215362,10940.677586099559,20435.90378706446,3763.071957961988,397349.1555600993,39123.55649039592
2024,729975.0,88306.30025129847,5956273227.523657,191375183325.9885,1333371001.13198,9416.37523872427,33482.834576274814,255.67443901844075,5976.243676807346,994.2698495210836,648.9810688193566,1195.3492220034389,895.5628506364206,11034.50431756174,20611.161127546926,3795.34388438464,397349.15556009935,39459.07825308216
2025,736174.0,89056.20367985123,5980036072.665354,191965557422.25558,1337837481.959297,9496.339771899859,33767.173206417385,257.84564467271014,6026.994366286477,1002.713260318962,654.492262552856,1205.5002132390282,903.16803452778,11128.210118807763,20786.192584555265,3827.57421657314,397349.1555600993,39794.16757270386
2026,742344.0,89802.59892975772,6003713691.413576,192553840281.65558,1342287425.2334645,9575.9302170835,34050.181651001934,260.0066930493584,6077.507635214729,1011.1171713728268,659.9776739636789,1215.6037163723702,910.737640046362,11221.477548020208,20960.40521396992,3859.6537696628397,397349.15556009935,40127.689286216664
2027,748484.0,90545.36502934055,6027302297.693958,193139937889.0355,1346720118.3769534,9655.133674689265,34331.81404156097,262.15723389743295,6127.775296676556,1019.4802206225401,665.4364140062157,1225.6580938826974,918.2704403517254,11314.291488922061,21133.77078035663,3891.5773443744692,397349.15556009935,40459.58933823752
2028,754583.0,91283.17129014767,6050761651.492361,193722852447.84113,1351127959.3499353,9733.808249271926,34611.56582495178,264.2934144564568,6177.707294600934,1027.7874254065794,670.8587031787616,1235.6453330415713,925.7529401990234,11406.485662466099,21305.97869393848,3923.2877486360694,397349.15556009935,40789.273119552716
2029,760636.0,92015.41285379179,6074073318.762627,194302126713.825,1355507468.6368723,9811.889442901844,34889.207658836756,266.4134834716678,6227.262694410127,1036.0319754242528,676.2400962532693,1245.557246245156,933.1790053860534,11497.984487267222,21476.88777754414,3954.7589860512962,397349.15556009935,41116.470353246885
